Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2010,December,Wednesday,9 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Wednesday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Wednesday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,25.49,25.49,2010,December,Wednesday,5 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2010,December,Sunday,1 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Sunday,1 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,25.49,25.49,2010,December,Monday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2010,December,Wednesday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,3,12.75,38.25,2010,December,Wednesday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2010,December,Friday,10 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,4,12.75,51.0,2010,December,Friday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2010,December,Monday,9 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Monday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,25.49,25.49,2010,December,Friday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2010,December,Friday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Sunday,2 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Sunday,2 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2010,December,Sunday,2 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,25.49,25.49,2011,January,Tuesday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Wednesday,11 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,18,9.95,179.1,2011,January,Wednesday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,January,Friday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,January,Friday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Sunday,1 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,January,Tuesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Tuesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Wednesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,January,Thursday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,January,Sunday,1 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,40,9.95,398.0,2011,January,Monday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Monday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,24.96,24.96,2011,January,Monday,5 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Wednesday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,January,Thursday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,January,Friday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,February,Tuesday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,February,Wednesday,10 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,February,Friday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,February,Friday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,24.96,24.96,2011,February,Monday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,3,12.75,38.25,2011,February,Monday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,24.96,24.96,2011,February,Tuesday,11 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Friday,10 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,4,12.75,51.0,2011,February,Monday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,February,Monday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Wednesday,11 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,February,Wednesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Thursday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,February,Sunday,10 AM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,February,Wednesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Wednesday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,February,Wednesday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,February,Friday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,15,9.95,149.25,2011,February,Sunday,2 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Monday,11 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,February,Monday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,24.96,24.96,2011,February,Monday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Tuesday,12 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Tuesday,1 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,March,Tuesday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Wednesday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,4,12.75,51.0,2011,March,Wednesday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Wednesday,5 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Sunday,12 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Sunday,12 PM,Weekend
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Monday,5 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,12.75,12.75,2011,March,Tuesday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,March,Tuesday,3 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,2,12.75,25.5,2011,March,Wednesday,11 AM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,8,9.95,79.6,2011,March,Wednesday,2 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,1,24.96,24.96,2011,March,Thursday,4 PM,Weekday
CLASSIC METAL BIRDCAGE PLANT HOLDER,24,9.95,238.8,2011,March,Tuesday,12 PM,Weekday
