Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
COFFEE SCENT PILLAR CANDLE,1,0.95,0.95,2010,December,Monday,12 PM,Weekday
COFFEE SCENT PILLAR CANDLE,12,0.95,11.4,2010,December,Monday,10 AM,Weekday
COFFEE SCENT PILLAR CANDLE,1,1.91,1.91,2010,December,Friday,2 PM,Weekday
COFFEE SCENT PILLAR CANDLE,1,1.91,1.91,2010,December,Friday,2 PM,Weekday
COFFEE SCENT PILLAR CANDLE,1,1.91,1.91,2011,January,Wednesday,3 PM,Weekday
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,January,Sunday,3 PM,Weekend
COFFEE SCENT PILLAR CANDLE,1,1.88,1.88,2011,January,Monday,5 PM,Weekday
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,January,Thursday,12 PM,Weekday
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,January,Thursday,3 PM,Weekday
COFFEE SCENT PILLAR CANDLE,20,0.95,19.0,2011,January,Sunday,1 PM,Weekend
COFFEE SCENT PILLAR CANDLE,12,0.95,11.4,2011,February,Tuesday,11 AM,Weekday
COFFEE SCENT PILLAR CANDLE,8,0.95,7.6,2011,February,Wednesday,2 PM,Weekday
COFFEE SCENT PILLAR CANDLE,6,0.95,5.7,2011,February,Monday,11 AM,Weekday
COFFEE SCENT PILLAR CANDLE,1,1.88,1.88,2011,February,Monday,6 PM,Weekday
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,February,Sunday,11 AM,Weekend
COFFEE SCENT PILLAR CANDLE,1,0.95,0.95,2011,February,Sunday,11 AM,Weekend
COFFEE SCENT PILLAR CANDLE,2,0.95,1.9,2011,March,Sunday,11 AM,Weekend
COFFEE SCENT PILLAR CANDLE,12,0.95,11.4,2011,March,Monday,7 AM,Weekday
COFFEE SCENT PILLAR CANDLE,48,0.95,45.6,2011,March,Thursday,7 PM,Weekday
COFFEE SCENT PILLAR CANDLE,2,0.95,1.9,2011,April,Sunday,3 PM,Weekend
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,April,Thursday,5 PM,Weekday
COFFEE SCENT PILLAR CANDLE,2,0.95,1.9,2011,April,Monday,4 PM,Weekday
COFFEE SCENT PILLAR CANDLE,3,0.95,2.85,2011,May,Sunday,11 AM,Weekend
COFFEE SCENT PILLAR CANDLE,12,0.95,11.4,2011,May,Sunday,3 PM,Weekend
COFFEE SCENT PILLAR CANDLE,2,0.95,1.9,2011,June,Wednesday,1 PM,Weekday
COFFEE SCENT PILLAR CANDLE,1,0.95,0.95,2011,June,Wednesday,4 PM,Weekday
COFFEE SCENT PILLAR CANDLE,1,0.95,0.95,2011,July,Monday,4 PM,Weekday
