Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,9,6.63,59.67,2011,January,Monday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,3.95,7.9,2011,January,Tuesday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,6.63,6.63,2011,January,Tuesday,5 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,3.95,7.9,2011,January,Wednesday,12 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,6.63,6.63,2011,January,Wednesday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,6.63,6.63,2011,January,Friday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,January,Sunday,12 PM,Weekend
COLOURED GLASS STAR T-LIGHT HOLDER,12,3.95,47.4,2011,January,Monday,11 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,240,3.29,789.6,2011,January,Monday,12 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,3,6.63,19.89,2011,January,Monday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,3.95,3.95,2011,January,Monday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,3.95,3.95,2011,January,Monday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,8,3.95,31.6,2011,January,Monday,5 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,3.95,7.9,2011,January,Tuesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,12,3.95,47.4,2011,January,Tuesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,12,6.63,79.56,2011,January,Wednesday,1 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,January,Wednesday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,6.63,6.63,2011,January,Thursday,9 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,3.95,3.95,2011,January,Thursday,7 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,12,3.95,47.4,2011,January,Friday,8 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,January,Friday,9 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,January,Friday,10 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,January,Friday,12 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,48,3.29,157.92,2011,January,Monday,9 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,48,3.29,157.92,2011,January,Monday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,January,Monday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,11,6.63,72.93,2011,January,Monday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,3.95,3.95,2011,January,Tuesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,6,3.95,23.7,2011,January,Tuesday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,6.63,13.26,2011,January,Tuesday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,6.63,13.26,2011,January,Tuesday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,January,Wednesday,10 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,January,Wednesday,1 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,6.63,13.26,2011,January,Wednesday,3 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,December,Thursday,8 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,8,3.95,31.6,2011,December,Thursday,8 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,1,6.63,6.63,2011,December,Thursday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,144,3.16,455.04,2011,December,Friday,11 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,December,Monday,12 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,December,Monday,12 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,3,3.95,11.85,2011,December,Monday,1 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,38,3.29,125.02,2011,December,Monday,1 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,December,Monday,4 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,8,6.63,53.04,2011,December,Monday,5 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,96,3.29,315.84,2011,December,Tuesday,10 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,4,3.95,15.8,2011,December,Tuesday,11 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,6,3.95,23.7,2011,December,Tuesday,1 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,December,Tuesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,2,3.95,7.9,2011,December,Tuesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,December,Wednesday,11 AM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,48,3.29,157.92,2011,December,Wednesday,2 PM,Weekday
COLOURED GLASS STAR T-LIGHT HOLDER,24,3.29,78.96,2011,December,Wednesday,3 PM,Weekday
