Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
COLOURFUL FLOWER FRUIT BOWL,4,6.95,27.8,2011,January,Tuesday,2 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,March,Sunday,1 PM,Weekend
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,March,Thursday,1 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,April,Sunday,2 PM,Weekend
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,April,Monday,2 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,April,Tuesday,2 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,2,1.95,3.9,2011,April,Thursday,3 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,1,1.0,1.0,2011,July,Sunday,3 PM,Weekend
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,August,Sunday,3 PM,Weekend
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,August,Tuesday,12 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,1,1.95,1.95,2011,September,Wednesday,3 PM,Weekday
COLOURFUL FLOWER FRUIT BOWL,2,1.95,3.9,2011,February,Sunday,3 PM,Weekend
