Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CORDIAL GLASS JUG,1,8.25,8.25,2011,June,Friday,11 AM,Weekday
CORDIAL GLASS JUG,4,8.25,33.0,2011,June,Wednesday,3 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,June,Sunday,1 PM,Weekend
CORDIAL GLASS JUG,1,8.25,8.25,2011,July,Thursday,12 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,July,Tuesday,9 AM,Weekday
CORDIAL GLASS JUG,1,16.63,16.63,2011,July,Monday,4 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,August,Monday,12 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,August,Wednesday,9 AM,Weekday
CORDIAL GLASS JUG,7,8.25,57.75,2011,August,Thursday,1 PM,Weekday
CORDIAL GLASS JUG,1,8.25,8.25,2011,August,Sunday,1 PM,Weekend
CORDIAL GLASS JUG,2,8.25,16.5,2011,August,Sunday,12 PM,Weekend
CORDIAL GLASS JUG,1,8.25,8.25,2011,August,Sunday,12 PM,Weekend
CORDIAL GLASS JUG,1,8.25,8.25,2011,August,Tuesday,12 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,September,Thursday,10 AM,Weekday
CORDIAL GLASS JUG,1,8.25,8.25,2011,February,Thursday,8 PM,Weekday
CORDIAL GLASS JUG,1,8.25,8.25,2011,February,Thursday,8 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,January,Thursday,2 PM,Weekday
CORDIAL GLASS JUG,2,8.25,16.5,2011,January,Thursday,3 PM,Weekday
