Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Wednesday,5 PM,Weekday
CORONA MEXICAN TRAY,17,3.75,63.75,2010,December,Thursday,4 PM,Weekday
CORONA MEXICAN TRAY,2,7.62,15.24,2010,December,Friday,11 AM,Weekday
CORONA MEXICAN TRAY,1,3.75,3.75,2010,December,Friday,11 AM,Weekday
CORONA MEXICAN TRAY,1,3.75,3.75,2010,December,Friday,5 PM,Weekday
CORONA MEXICAN TRAY,1,3.75,3.75,2010,December,Sunday,4 PM,Weekend
CORONA MEXICAN TRAY,5,3.75,18.75,2010,December,Monday,2 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Tuesday,6 PM,Weekday
CORONA MEXICAN TRAY,8,3.75,30.0,2010,December,Wednesday,10 AM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Wednesday,2 PM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Thursday,1 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Thursday,4 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Thursday,4 PM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Friday,9 AM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Friday,10 AM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Friday,10 AM,Weekday
CORONA MEXICAN TRAY,1,3.75,3.75,2010,December,Friday,11 AM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Friday,2 PM,Weekday
CORONA MEXICAN TRAY,5,3.75,18.75,2010,December,Sunday,1 PM,Weekend
CORONA MEXICAN TRAY,2,8.47,16.94,2010,December,Monday,9 AM,Weekday
CORONA MEXICAN TRAY,12,3.75,45.0,2010,December,Monday,10 AM,Weekday
CORONA MEXICAN TRAY,3,8.47,25.41,2010,December,Monday,11 AM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Monday,12 PM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Tuesday,10 AM,Weekday
CORONA MEXICAN TRAY,3,7.62,22.86,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,4,3.75,15.0,2010,December,Wednesday,1 PM,Weekday
CORONA MEXICAN TRAY,10,3.75,37.5,2010,December,Wednesday,3 PM,Weekday
CORONA MEXICAN TRAY,50,2.95,147.5,2010,December,Friday,2 PM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Friday,2 PM,Weekday
CORONA MEXICAN TRAY,2,3.75,7.5,2010,December,Friday,5 PM,Weekday
CORONA MEXICAN TRAY,8,3.75,30.0,2010,December,Monday,1 PM,Weekday
CORONA MEXICAN TRAY,1,8.47,8.47,2010,December,Monday,1 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,3,7.62,22.86,2010,December,Tuesday,3 PM,Weekday
CORONA MEXICAN TRAY,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
