Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.66,1.66,2010,December,Monday,9 AM,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.66,1.66,2010,December,Thursday,2 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.63,1.63,2011,February,Wednesday,1 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.63,1.63,2011,May,Thursday,3 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.63,1.63,2011,May,Monday,4 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,12,0.85,10.2,2011,May,Sunday,10 AM,Weekend
CRYSTAL STILETTO PHONE CHARM,2,1.63,3.26,2011,June,Monday,3 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,2,1.63,3.26,2011,July,Friday,4 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,1,1.63,1.63,2011,August,Friday,4 PM,Weekday
CRYSTAL STILETTO PHONE CHARM,12,0.85,10.2,2011,December,Friday,4 PM,Weekday
