Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2010,December,Tuesday,1 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,May,Thursday,3 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,May,Sunday,2 PM,Weekend
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,July,Sunday,2 PM,Weekend
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,February,Monday,12 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,72,0.38,27.36,2011,February,Tuesday,12 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,February,Thursday,11 AM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,February,Thursday,1 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,February,Sunday,3 PM,Weekend
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,January,Wednesday,4 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,January,Thursday,10 AM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,January,Sunday,11 AM,Weekend
CRYSTAL STUD EARRINGS ASSORTED COL,72,0.38,27.36,2011,January,Monday,12 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,January,Friday,12 PM,Weekday
CRYSTAL STUD EARRINGS ASSORTED COL,36,0.38,13.68,2011,December,Thursday,2 PM,Weekday
