Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DAIRY MAID LARGE MILK JUG,1,10.17,10.17,2010,December,Monday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2010,December,Tuesday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,10.17,10.17,2010,December,Friday,2 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2010,December,Friday,4 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2010,December,Monday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2010,December,Monday,3 PM,Weekday
DAIRY MAID LARGE MILK JUG,4,4.95,19.8,2010,December,Wednesday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,10.17,10.17,2010,December,Friday,5 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,10.17,10.17,2010,December,Monday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,10.17,10.17,2010,December,Thursday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,January,Monday,5 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,10.17,20.34,2011,January,Wednesday,9 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,January,Wednesday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,January,Thursday,2 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,January,Friday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,January,Wednesday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,9.96,9.96,2011,January,Thursday,11 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,January,Sunday,3 PM,Weekend
DAIRY MAID LARGE MILK JUG,6,4.95,29.7,2011,February,Friday,12 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,February,Monday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,February,Thursday,4 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,February,Sunday,2 PM,Weekend
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,February,Tuesday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,February,Wednesday,11 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,February,Tuesday,12 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,February,Tuesday,3 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,February,Tuesday,3 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Thursday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,March,Thursday,3 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,March,Sunday,12 PM,Weekend
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,March,Sunday,12 PM,Weekend
DAIRY MAID LARGE MILK JUG,1,9.96,9.96,2011,March,Wednesday,4 PM,Weekday
DAIRY MAID LARGE MILK JUG,1,9.96,9.96,2011,March,Friday,4 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,March,Sunday,11 AM,Weekend
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Wednesday,11 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Monday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,March,Wednesday,4 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Thursday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Thursday,12 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Monday,9 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,March,Monday,2 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Tuesday,11 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Tuesday,2 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Wednesday,3 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,March,Thursday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,April,Friday,9 AM,Weekday
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,April,Friday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,April,Monday,1 PM,Weekday
DAIRY MAID LARGE MILK JUG,2,4.95,9.9,2011,April,Tuesday,12 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,April,Monday,10 AM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,April,Sunday,3 PM,Weekend
DAIRY MAID LARGE MILK JUG,1,4.95,4.95,2011,April,Monday,12 PM,Weekday
DAIRY MAID LARGE MILK JUG,3,4.95,14.85,2011,April,Monday,3 PM,Weekday
