Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DANISH ROSE FOLDING CHAIR,12,7.95,95.4,2010,December,Monday,3 PM,Weekday
DANISH ROSE FOLDING CHAIR,4,7.95,31.8,2010,December,Monday,3 PM,Weekday
DANISH ROSE FOLDING CHAIR,4,7.95,31.8,2010,December,Tuesday,10 AM,Weekday
DANISH ROSE FOLDING CHAIR,8,7.95,63.6,2010,December,Tuesday,10 AM,Weekday
DANISH ROSE FOLDING CHAIR,6,7.95,47.7,2010,December,Tuesday,12 PM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Tuesday,2 PM,Weekday
DANISH ROSE FOLDING CHAIR,8,7.95,63.6,2010,December,Wednesday,9 AM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Wednesday,9 AM,Weekday
DANISH ROSE FOLDING CHAIR,4,7.95,31.8,2010,December,Wednesday,2 PM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Thursday,11 AM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Thursday,1 PM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Thursday,1 PM,Weekday
DANISH ROSE FOLDING CHAIR,6,7.95,47.7,2010,December,Thursday,5 PM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Friday,8 AM,Weekday
DANISH ROSE FOLDING CHAIR,16,7.95,127.2,2010,December,Friday,9 AM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Friday,9 AM,Weekday
DANISH ROSE FOLDING CHAIR,6,7.95,47.7,2010,December,Friday,2 PM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2010,December,Monday,4 PM,Weekday
DANISH ROSE FOLDING CHAIR,4,7.95,31.8,2010,December,Wednesday,10 AM,Weekday
DANISH ROSE FOLDING CHAIR,4,7.95,31.8,2010,December,Wednesday,11 AM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2011,January,Tuesday,1 PM,Weekday
DANISH ROSE FOLDING CHAIR,8,7.95,63.6,2011,January,Wednesday,10 AM,Weekday
DANISH ROSE FOLDING CHAIR,2,7.95,15.9,2011,January,Thursday,9 AM,Weekday
DANISH ROSE FOLDING CHAIR,1,7.95,7.95,2011,January,Wednesday,3 PM,Weekday
DANISH ROSE FOLDING CHAIR,1,7.95,7.95,2011,February,Monday,1 PM,Weekday
