Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2010,December,Friday,11 AM,Weekday
DANISH ROSE TRINKET TRAYS,16,1.25,20.0,2010,December,Monday,3 PM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2010,December,Tuesday,10 AM,Weekday
DANISH ROSE TRINKET TRAYS,24,1.25,30.0,2010,December,Tuesday,12 PM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2010,December,Thursday,1 PM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2010,December,Thursday,1 PM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2011,January,Wednesday,9 AM,Weekday
DANISH ROSE TRINKET TRAYS,80,1.25,100.0,2011,January,Wednesday,10 AM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2011,January,Thursday,4 PM,Weekday
DANISH ROSE TRINKET TRAYS,8,1.25,10.0,2011,January,Friday,10 AM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,February,Friday,12 PM,Weekday
DANISH ROSE TRINKET TRAYS,1,5.95,5.95,2011,February,Tuesday,4 PM,Weekday
DANISH ROSE TRINKET TRAYS,1,5.95,5.95,2011,February,Thursday,3 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,March,Thursday,2 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,March,Thursday,3 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,May,Monday,8 AM,Weekday
DANISH ROSE TRINKET TRAYS,8,4.65,37.2,2011,June,Thursday,5 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,June,Tuesday,2 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,August,Sunday,10 AM,Weekend
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,August,Monday,2 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,August,Wednesday,10 AM,Weekday
DANISH ROSE TRINKET TRAYS,1,5.95,5.95,2011,September,Friday,3 PM,Weekday
DANISH ROSE TRINKET TRAYS,4,5.95,23.8,2011,September,Thursday,3 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,February,Wednesday,2 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,February,Wednesday,1 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,January,Monday,10 AM,Weekday
DANISH ROSE TRINKET TRAYS,2,5.95,11.9,2011,December,Friday,2 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,0.79,1.58,2011,December,Tuesday,12 PM,Weekday
DANISH ROSE TRINKET TRAYS,2,0.79,1.58,2011,December,Tuesday,12 PM,Weekday
DANISH ROSE TRINKET TRAYS,16,0.79,12.64,2011,December,Wednesday,8 AM,Weekday
DANISH ROSE TRINKET TRAYS,16,0.79,12.64,2011,December,Thursday,9 AM,Weekday
DANISH ROSE TRINKET TRAYS,16,0.79,12.64,2011,December,Thursday,3 PM,Weekday
