Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,1.66,1.66,2010,December,Friday,11 AM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,1.66,1.66,2010,December,Friday,5 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,9,0.81,7.29,2010,December,Thursday,1 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,9,0.81,7.29,2011,January,Tuesday,1 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,0.81,0.81,2011,January,Wednesday,11 AM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,0.81,0.81,2011,January,Wednesday,4 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,0.81,0.81,2011,January,Thursday,2 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,3,0.81,2.43,2011,January,Friday,11 AM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,32,0.72,23.04,2011,January,Friday,1 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,6,0.81,4.86,2011,January,Friday,1 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,3,0.85,2.55,2011,January,Friday,2 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,8,0.81,6.48,2011,January,Monday,9 AM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,3,0.81,2.43,2011,January,Monday,2 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,2,0.81,1.62,2011,January,Monday,4 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,6,0.85,5.1,2011,January,Tuesday,12 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,8,0.81,6.48,2011,January,Tuesday,1 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,7,0.81,5.67,2011,January,Wednesday,9 AM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,6,0.81,4.86,2011,January,Wednesday,3 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,3,0.79,2.37,2011,January,Thursday,2 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,1,0.79,0.79,2011,January,Friday,2 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,14,0.79,11.06,2011,January,Monday,5 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,3,0.79,2.37,2011,January,Monday,5 PM,Weekday
DECORATION  PINK CHICK MAGIC GARDEN,4,0.79,3.16,2011,January,Monday,5 PM,Weekday
