Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Wednesday,4 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Friday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,14,0.63,8.82,2011,August,Sunday,12 PM,Weekend
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Monday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Monday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Thursday,5 PM,Weekday
DECORATIVE WICKER HEART SMALL,6,0.63,3.78,2011,August,Sunday,12 PM,Weekend
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,August,Tuesday,4 PM,Weekday
DECORATIVE WICKER HEART SMALL,5,0.63,3.15,2011,August,Tuesday,5 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Wednesday,8 AM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,August,Friday,11 AM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,August,Sunday,3 PM,Weekend
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,August,Tuesday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,August,Tuesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,3,1.25,3.75,2011,August,Tuesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,9,0.63,5.67,2011,August,Wednesday,4 PM,Weekday
DECORATIVE WICKER HEART SMALL,96,0.55,52.8,2011,September,Thursday,2 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,September,Friday,9 AM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Wednesday,8 AM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,September,Wednesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,September,Friday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,19,0.63,11.97,2011,September,Sunday,12 PM,Weekend
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Tuesday,9 AM,Weekday
DECORATIVE WICKER HEART SMALL,2,0.63,1.26,2011,September,Tuesday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,12,1.25,15.0,2011,September,Thursday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Tuesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Wednesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,September,Wednesday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,4,0.63,2.52,2011,September,Wednesday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,2,0.63,1.26,2011,September,Thursday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,4,0.63,2.52,2011,September,Friday,1 PM,Weekday
DECORATIVE WICKER HEART SMALL,10,1.25,12.5,2011,September,Friday,5 PM,Weekday
DECORATIVE WICKER HEART SMALL,50,0.63,31.5,2011,September,Tuesday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,2,1.25,2.5,2011,September,Tuesday,6 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Wednesday,2 PM,Weekday
DECORATIVE WICKER HEART SMALL,12,0.63,7.56,2011,September,Thursday,11 AM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,September,Friday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,8,0.63,5.04,2011,September,Friday,1 PM,Weekday
DECORATIVE WICKER HEART SMALL,6,0.63,3.78,2011,February,Sunday,12 PM,Weekend
DECORATIVE WICKER HEART SMALL,11,0.63,6.93,2011,February,Tuesday,1 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,February,Friday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,February,Monday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,February,Monday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,12,0.63,7.56,2011,February,Monday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,10,0.63,6.3,2011,February,Friday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,50,0.63,31.5,2011,February,Monday,11 AM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,February,Monday,4 PM,Weekday
DECORATIVE WICKER HEART SMALL,2,0.63,1.26,2011,February,Tuesday,1 PM,Weekday
DECORATIVE WICKER HEART SMALL,3,0.63,1.89,2011,February,Tuesday,2 PM,Weekday
DECORATIVE WICKER HEART SMALL,3,1.25,3.75,2011,February,Tuesday,5 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,February,Thursday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,2,0.63,1.26,2011,February,Thursday,1 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,0.63,0.63,2011,February,Friday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,11,0.63,6.93,2011,February,Friday,12 PM,Weekday
DECORATIVE WICKER HEART SMALL,8,0.63,5.04,2011,February,Sunday,11 AM,Weekend
DECORATIVE WICKER HEART SMALL,5,0.63,3.15,2011,February,Sunday,1 PM,Weekend
DECORATIVE WICKER HEART SMALL,3,0.63,1.89,2011,February,Sunday,3 PM,Weekend
DECORATIVE WICKER HEART SMALL,2,0.63,1.26,2011,February,Sunday,4 PM,Weekend
DECORATIVE WICKER HEART SMALL,5,0.63,3.15,2011,February,Sunday,4 PM,Weekend
DECORATIVE WICKER HEART SMALL,12,1.25,15.0,2011,February,Monday,2 PM,Weekday
DECORATIVE WICKER HEART SMALL,48,0.63,30.24,2011,January,Tuesday,10 AM,Weekday
DECORATIVE WICKER HEART SMALL,3,0.63,1.89,2011,January,Wednesday,4 PM,Weekday
DECORATIVE WICKER HEART SMALL,1,1.25,1.25,2011,January,Thursday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,10,0.63,6.3,2011,January,Friday,3 PM,Weekday
DECORATIVE WICKER HEART SMALL,11,0.63,6.93,2011,January,Sunday,1 PM,Weekend
