Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.69,1.69,2010,December,Monday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.69,1.69,2010,December,Wednesday,2 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.69,1.69,2010,December,Friday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.69,1.69,2010,December,Monday,1 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.69,1.69,2010,December,Thursday,1 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,2,1.69,3.38,2011,January,Monday,9 AM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Monday,5 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Monday,5 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,February,Thursday,11 AM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,6,1.65,9.9,2011,February,Friday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,March,Thursday,6 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,4,1.65,6.6,2011,June,Thursday,5 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,June,Tuesday,5 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,2,1.65,3.3,2011,July,Monday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,2,1.65,3.3,2011,July,Monday,5 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,6,1.65,9.9,2011,September,Friday,2 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Wednesday,3 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,2,1.65,3.3,2011,January,Thursday,3 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Tuesday,6 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Friday,1 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Tuesday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Thursday,3 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Friday,3 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,January,Thursday,9 AM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,2,1.65,3.3,2011,December,Thursday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,December,Friday,4 PM,Weekday
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,1.65,1.65,2011,December,Friday,10 AM,Weekday
