Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Wednesday,11 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Wednesday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Wednesday,3 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Wednesday,5 PM,Weekday
DOORMAT HEARTS,70,6.75,472.5,2010,December,Thursday,3 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Friday,2 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Sunday,3 PM,Weekend
DOORMAT HEARTS,1,7.95,7.95,2010,December,Sunday,4 PM,Weekend
DOORMAT HEARTS,2,7.95,15.9,2010,December,Monday,9 AM,Weekday
DOORMAT HEARTS,2,14.43,28.86,2010,December,Monday,9 AM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Monday,10 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Monday,10 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Monday,12 PM,Weekday
DOORMAT HEARTS,5,7.95,39.75,2010,December,Tuesday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Tuesday,5 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Tuesday,6 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2010,December,Wednesday,1 PM,Weekday
DOORMAT HEARTS,2,14.43,28.86,2010,December,Wednesday,2 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Thursday,3 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Friday,2 PM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2010,December,Friday,3 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Sunday,2 PM,Weekend
DOORMAT HEARTS,1,7.95,7.95,2010,December,Sunday,2 PM,Weekend
DOORMAT HEARTS,1,14.43,14.43,2010,December,Monday,11 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Monday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Monday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Tuesday,2 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Wednesday,10 AM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2010,December,Wednesday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Thursday,3 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2010,December,Thursday,4 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2010,December,Thursday,4 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Friday,4 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Tuesday,12 PM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2010,December,Tuesday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2010,December,Tuesday,1 PM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2010,December,Wednesday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,12 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Wednesday,1 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Wednesday,3 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,January,Thursday,12 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Thursday,12 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,January,Thursday,3 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Thursday,4 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Friday,4 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Monday,9 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Monday,11 AM,Weekday
DOORMAT HEARTS,1,14.43,14.43,2011,January,Monday,2 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,4 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Wednesday,4 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Friday,1 PM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2011,January,Sunday,3 PM,Weekend
DOORMAT HEARTS,1,14.13,14.13,2011,January,Tuesday,4 PM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,January,Tuesday,4 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,10 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Thursday,3 PM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,January,Thursday,6 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Sunday,12 PM,Weekend
DOORMAT HEARTS,2,7.95,15.9,2011,January,Sunday,12 PM,Weekend
DOORMAT HEARTS,1,7.95,7.95,2011,January,Sunday,1 PM,Weekend
DOORMAT HEARTS,10,6.75,67.5,2011,January,Monday,11 AM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,January,Monday,12 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Monday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Monday,2 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Tuesday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Tuesday,1 PM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,January,Tuesday,2 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,January,Wednesday,9 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,10 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,10 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Wednesday,12 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Wednesday,12 PM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2011,January,Wednesday,1 PM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,January,Wednesday,4 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Thursday,12 PM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,January,Thursday,12 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Thursday,2 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Thursday,3 PM,Weekday
DOORMAT HEARTS,3,7.95,23.85,2011,January,Thursday,3 PM,Weekday
DOORMAT HEARTS,4,7.95,31.8,2011,January,Friday,12 PM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,January,Friday,2 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Friday,2 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Friday,3 PM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,January,Sunday,10 AM,Weekend
DOORMAT HEARTS,3,7.95,23.85,2011,January,Sunday,10 AM,Weekend
DOORMAT HEARTS,2,7.95,15.9,2011,January,Sunday,10 AM,Weekend
DOORMAT HEARTS,2,7.95,15.9,2011,January,Sunday,12 PM,Weekend
DOORMAT HEARTS,6,7.95,47.7,2011,January,Monday,9 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,January,Monday,2 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Tuesday,8 AM,Weekday
DOORMAT HEARTS,10,6.75,67.5,2011,February,Tuesday,10 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Tuesday,10 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,February,Tuesday,11 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Wednesday,11 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Wednesday,12 PM,Weekday
DOORMAT HEARTS,2,14.13,28.26,2011,February,Wednesday,12 PM,Weekday
DOORMAT HEARTS,2,14.13,28.26,2011,February,Wednesday,12 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Wednesday,2 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Thursday,8 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,February,Thursday,11 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,February,Thursday,1 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Thursday,3 PM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Sunday,2 PM,Weekend
DOORMAT HEARTS,2,7.95,15.9,2011,February,Sunday,2 PM,Weekend
DOORMAT HEARTS,1,7.95,7.95,2011,February,Monday,11 AM,Weekday
DOORMAT HEARTS,2,7.95,15.9,2011,February,Monday,11 AM,Weekday
DOORMAT HEARTS,1,14.13,14.13,2011,February,Monday,12 PM,Weekday
DOORMAT HEARTS,6,7.95,47.7,2011,February,Monday,3 PM,Weekday
DOORMAT HEARTS,2,14.13,28.26,2011,February,Tuesday,11 AM,Weekday
DOORMAT HEARTS,1,7.95,7.95,2011,February,Tuesday,3 PM,Weekday
