Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2010,December,Sunday,4 PM,Weekend
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2010,December,Monday,3 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,14.43,14.43,2010,December,Wednesday,2 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Wednesday,4 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Thursday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,3,7.95,23.85,2010,December,Thursday,2 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,14.43,14.43,2010,December,Friday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2010,December,Friday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2010,December,Sunday,1 PM,Weekend
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Monday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Tuesday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2010,December,Sunday,3 PM,Weekend
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2010,December,Sunday,3 PM,Weekend
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Monday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2010,December,Wednesday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,12.72,12.72,2010,December,Thursday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Thursday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Monday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Monday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,January,Monday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,January,Wednesday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,3,7.95,23.85,2011,January,Wednesday,2 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,4,7.95,31.8,2011,January,Thursday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,January,Thursday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2011,January,Tuesday,8 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Tuesday,3 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,12.46,12.46,2011,January,Friday,2 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,January,Sunday,1 PM,Weekend
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Monday,2 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Thursday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,January,Thursday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Tuesday,10 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Tuesday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,February,Tuesday,3 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2011,February,Wednesday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,4,7.95,31.8,2011,February,Wednesday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,14.13,14.13,2011,February,Wednesday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Thursday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,February,Thursday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Thursday,3 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Friday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Monday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,12.46,12.46,2011,February,Friday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,4,7.95,31.8,2011,February,Friday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,4,7.95,31.8,2011,February,Friday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Monday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Tuesday,10 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2011,February,Wednesday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Monday,3 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Tuesday,10 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,12.46,12.46,2011,February,Wednesday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2011,February,Thursday,9 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Thursday,1 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,2,7.95,15.9,2011,February,Friday,11 AM,Weekday
DOORMAT HOME SWEET HOME BLUE,10,6.75,67.5,2011,February,Friday,12 PM,Weekday
DOORMAT HOME SWEET HOME BLUE,1,7.95,7.95,2011,February,Sunday,10 AM,Weekend
