Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DOORMAT NEIGHBOURHOOD WITCH,2,7.95,15.9,2010,December,Friday,1 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,7.95,7.95,2010,December,Monday,11 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Thursday,4 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,4,7.95,31.8,2010,December,Thursday,4 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,1 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.43,14.43,2010,December,Tuesday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,2,7.95,15.9,2010,December,Wednesday,1 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,7.95,7.95,2011,January,Tuesday,11 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,7.95,7.95,2011,January,Monday,11 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,7.95,7.95,2011,January,Wednesday,11 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,7.95,7.95,2011,January,Monday,11 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,2,7.95,15.9,2011,January,Thursday,3 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,10,6.75,67.5,2011,January,Monday,9 AM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,1,14.13,14.13,2011,February,Wednesday,1 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,4,7.95,31.8,2011,February,Friday,12 PM,Weekday
DOORMAT NEIGHBOURHOOD WITCH,2,7.95,15.9,2011,February,Friday,1 PM,Weekday
