Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
DOTCOM POSTAGE,1,569.77,569.77,2010,December,Wednesday,2 PM,Weekday
DOTCOM POSTAGE,1,607.49,607.49,2010,December,Wednesday,5 PM,Weekday
DOTCOM POSTAGE,1,254.43,254.43,2010,December,Friday,11 AM,Weekday
DOTCOM POSTAGE,1,121.06,121.06,2010,December,Friday,11 AM,Weekday
DOTCOM POSTAGE,1,498.47,498.47,2010,December,Friday,11 AM,Weekday
DOTCOM POSTAGE,1,887.52,887.52,2010,December,Friday,11 AM,Weekday
DOTCOM POSTAGE,1,863.74,863.74,2010,December,Monday,9 AM,Weekday
DOTCOM POSTAGE,1,940.87,940.87,2010,December,Monday,10 AM,Weekday
DOTCOM POSTAGE,1,950.99,950.99,2010,December,Monday,4 PM,Weekday
DOTCOM POSTAGE,1,836.14,836.14,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,229.74,229.74,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,448.0,448.0,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,593.15,593.15,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,607.96,607.96,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,701.95,701.95,2010,December,Tuesday,6 PM,Weekday
DOTCOM POSTAGE,1,729.42,729.42,2010,December,Wednesday,2 PM,Weekday
DOTCOM POSTAGE,1,885.94,885.94,2010,December,Thursday,2 PM,Weekday
DOTCOM POSTAGE,1,547.32,547.32,2010,December,Thursday,4 PM,Weekday
DOTCOM POSTAGE,1,620.68,620.68,2010,December,Thursday,4 PM,Weekday
DOTCOM POSTAGE,1,822.94,822.94,2010,December,Thursday,4 PM,Weekday
DOTCOM POSTAGE,1,85.79,85.79,2010,December,Thursday,4 PM,Weekday
DOTCOM POSTAGE,1,847.42,847.42,2010,December,Friday,9 AM,Weekday
DOTCOM POSTAGE,1,907.47,907.47,2010,December,Friday,2 PM,Weekday
DOTCOM POSTAGE,1,641.86,641.86,2010,December,Monday,9 AM,Weekday
DOTCOM POSTAGE,1,584.59,584.59,2010,December,Monday,11 AM,Weekday
DOTCOM POSTAGE,1,113.45,113.45,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,198.17,198.17,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,340.72,340.72,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,146.85,146.85,2010,December,Tuesday,3 PM,Weekday
DOTCOM POSTAGE,1,510.79,510.79,2010,December,Friday,2 PM,Weekday
DOTCOM POSTAGE,1,565.37,565.37,2010,December,Friday,2 PM,Weekday
DOTCOM POSTAGE,1,803.55,803.55,2010,December,Friday,2 PM,Weekday
DOTCOM POSTAGE,1,662.14,662.14,2010,December,Friday,4 PM,Weekday
DOTCOM POSTAGE,1,603.62,603.62,2010,December,Friday,5 PM,Weekday
DOTCOM POSTAGE,1,396.81,396.81,2010,December,Monday,10 AM,Weekday
DOTCOM POSTAGE,1,350.78,350.78,2010,December,Monday,1 PM,Weekday
