Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EASTER BUNNY HANGING GARLAND,2,1.25,2.5,2011,January,Sunday,3 PM,Weekend
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,February,Wednesday,12 PM,Weekday
EASTER BUNNY HANGING GARLAND,3,4.96,14.88,2011,February,Monday,9 AM,Weekday
EASTER BUNNY HANGING GARLAND,12,1.25,15.0,2011,February,Monday,2 PM,Weekday
EASTER BUNNY HANGING GARLAND,2,1.25,2.5,2011,February,Tuesday,1 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,February,Thursday,3 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,1.25,1.25,2011,February,Sunday,1 PM,Weekend
EASTER BUNNY HANGING GARLAND,7,1.25,8.75,2011,March,Tuesday,12 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,March,Tuesday,4 PM,Weekday
EASTER BUNNY HANGING GARLAND,6,1.25,7.5,2011,March,Sunday,11 AM,Weekend
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,March,Thursday,6 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,March,Friday,3 PM,Weekday
EASTER BUNNY HANGING GARLAND,2,1.25,2.5,2011,April,Monday,1 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,April,Monday,4 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,1.25,1.25,2011,April,Monday,4 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,April,Tuesday,4 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,April,Wednesday,5 PM,Weekday
EASTER BUNNY HANGING GARLAND,5,1.25,6.25,2011,April,Friday,11 AM,Weekday
EASTER BUNNY HANGING GARLAND,3,1.25,3.75,2011,April,Sunday,3 PM,Weekend
EASTER BUNNY HANGING GARLAND,12,1.25,15.0,2011,April,Monday,2 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,April,Monday,1 PM,Weekday
EASTER BUNNY HANGING GARLAND,1,4.96,4.96,2011,April,Monday,3 PM,Weekday
EASTER BUNNY HANGING GARLAND,2,1.25,2.5,2011,April,Tuesday,4 PM,Weekday
