Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EASTER TIN KEEPSAKE,42,1.65,69.3,2010,December,Sunday,11 AM,Weekend
EASTER TIN KEEPSAKE,6,1.65,9.9,2010,December,Thursday,9 AM,Weekday
EASTER TIN KEEPSAKE,108,1.45,156.6,2010,December,Tuesday,3 PM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Thursday,10 AM,Weekday
EASTER TIN KEEPSAKE,48,1.65,79.2,2011,January,Thursday,11 AM,Weekday
EASTER TIN KEEPSAKE,48,1.65,79.2,2011,January,Monday,9 AM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Wednesday,11 AM,Weekday
EASTER TIN KEEPSAKE,1,3.29,3.29,2011,January,Thursday,9 AM,Weekday
EASTER TIN KEEPSAKE,2,1.65,3.3,2011,January,Thursday,1 PM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Monday,1 PM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Monday,2 PM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Wednesday,9 AM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Thursday,1 PM,Weekday
EASTER TIN KEEPSAKE,3,1.65,4.95,2011,January,Friday,11 AM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Sunday,1 PM,Weekend
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Monday,4 PM,Weekday
EASTER TIN KEEPSAKE,1,3.29,3.29,2011,January,Tuesday,10 AM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Wednesday,11 AM,Weekday
EASTER TIN KEEPSAKE,4,1.65,6.6,2011,January,Wednesday,2 PM,Weekday
EASTER TIN KEEPSAKE,6,1.65,9.9,2011,January,Thursday,9 AM,Weekday
