Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Wednesday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,6,4.95,29.7,2010,December,Wednesday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2010,December,Wednesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,6,4.95,29.7,2010,December,Thursday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,6,4.95,29.7,2010,December,Thursday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,6,4.95,29.7,2010,December,Thursday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2010,December,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Friday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,2,12.72,25.44,2010,December,Friday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,9,5.95,53.55,2010,December,Friday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2010,December,Friday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2010,December,Sunday,10 AM,Weekend
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Sunday,11 AM,Weekend
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2010,December,Sunday,12 PM,Weekend
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2010,December,Monday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Tuesday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,2,12.72,25.44,2010,December,Tuesday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Tuesday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,12.72,25.44,2010,December,Tuesday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Wednesday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2010,December,Thursday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,3,12.72,38.16,2010,December,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Friday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2010,December,Friday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2010,December,Friday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2010,December,Friday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Sunday,2 PM,Weekend
EDWARDIAN PARASOL BLACK,2,12.72,25.44,2010,December,Monday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,6,5.95,35.7,2010,December,Monday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2010,December,Monday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2010,December,Thursday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,4,5.95,23.8,2010,December,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,6,5.95,35.7,2010,December,Thursday,7 PM,Weekday
EDWARDIAN PARASOL BLACK,36,5.95,214.2,2010,December,Friday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,2,12.72,25.44,2010,December,Friday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2010,December,Friday,5 PM,Weekday
EDWARDIAN PARASOL BLACK,24,5.95,142.8,2010,December,Monday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2010,December,Monday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Tuesday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.72,12.72,2010,December,Thursday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Tuesday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,January,Tuesday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,January,Wednesday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,9,5.95,53.55,2011,January,Wednesday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,60,4.95,297.0,2011,January,Thursday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2011,January,Thursday,6 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Friday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Friday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Sunday,12 PM,Weekend
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Thursday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,January,Friday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,12,5.95,71.4,2011,January,Friday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,January,Sunday,10 AM,Weekend
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Monday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,January,Monday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,January,Tuesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Tuesday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,60,4.95,297.0,2011,January,Thursday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Friday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Monday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Monday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Monday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Tuesday,8 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Wednesday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,January,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,January,Monday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,January,Monday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,February,Tuesday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,33,5.95,196.35,2011,February,Tuesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,15,5.95,89.25,2011,February,Tuesday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,15,5.95,89.25,2011,February,Wednesday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,February,Friday,9 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Friday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,February,Monday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,February,Tuesday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Wednesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,February,Wednesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,February,Thursday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,February,Friday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,February,Friday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Friday,12 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,February,Tuesday,1 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,February,Wednesday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Thursday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,2,12.46,24.92,2011,February,Thursday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,February,Sunday,10 AM,Weekend
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,February,Monday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,4,5.95,23.8,2011,February,Wednesday,8 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Wednesday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,February,Friday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,24,5.95,142.8,2011,February,Friday,3 PM,Weekday
EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,March,Friday,10 AM,Weekday
EDWARDIAN PARASOL BLACK,10,5.95,59.5,2011,March,Friday,5 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,March,Friday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,March,Friday,4 PM,Weekday
EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,March,Monday,11 AM,Weekday
EDWARDIAN PARASOL BLACK,1,12.46,12.46,2011,March,Tuesday,2 PM,Weekday
EDWARDIAN PARASOL BLACK,3,5.95,17.85,2011,March,Wednesday,11 AM,Weekday
