Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,June,Monday,4 PM,Weekday
EGG FRYING PAN IVORY,6,2.08,12.48,2011,June,Tuesday,10 AM,Weekday
EGG FRYING PAN IVORY,3,2.08,6.24,2011,June,Thursday,6 PM,Weekday
EGG FRYING PAN IVORY,1,4.13,4.13,2011,June,Friday,3 PM,Weekday
EGG FRYING PAN IVORY,4,2.08,8.32,2011,June,Friday,5 PM,Weekday
EGG FRYING PAN IVORY,3,2.08,6.24,2011,June,Monday,12 PM,Weekday
EGG FRYING PAN IVORY,3,2.08,6.24,2011,June,Tuesday,3 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,July,Sunday,10 AM,Weekend
EGG FRYING PAN IVORY,6,2.08,12.48,2011,July,Monday,1 PM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,July,Monday,4 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,July,Wednesday,10 AM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,July,Monday,1 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,July,Friday,5 PM,Weekday
EGG FRYING PAN IVORY,48,1.85,88.8,2011,July,Monday,4 PM,Weekday
EGG FRYING PAN IVORY,6,2.08,12.48,2011,July,Thursday,11 AM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,July,Thursday,1 PM,Weekday
EGG FRYING PAN IVORY,48,1.85,88.8,2011,July,Thursday,3 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,July,Thursday,4 PM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,July,Sunday,12 PM,Weekend
EGG FRYING PAN IVORY,6,2.08,12.48,2011,August,Thursday,4 PM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,August,Friday,3 PM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,August,Sunday,1 PM,Weekend
EGG FRYING PAN IVORY,1,2.08,2.08,2011,August,Wednesday,1 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,August,Wednesday,3 PM,Weekday
EGG FRYING PAN IVORY,1,2.08,2.08,2011,August,Wednesday,5 PM,Weekday
EGG FRYING PAN IVORY,2,2.08,4.16,2011,August,Tuesday,11 AM,Weekday
EGG FRYING PAN IVORY,6,2.08,12.48,2011,August,Thursday,3 PM,Weekday
