Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,September,Thursday,12 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,September,Thursday,12 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,12,2.08,24.96,2011,September,Thursday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Thursday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,5,2.08,10.4,2011,September,Thursday,7 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,2,2.08,4.16,2011,September,Friday,1 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Sunday,2 PM,Weekend
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Monday,11 AM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Monday,3 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Tuesday,10 AM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Wednesday,1 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Wednesday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Thursday,4 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Thursday,5 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,September,Friday,10 AM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,February,Sunday,2 PM,Weekend
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,February,Monday,10 AM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,February,Monday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,6,2.08,12.48,2011,February,Tuesday,12 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,2,2.08,4.16,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL EMILY,1,2.08,2.08,2011,February,Tuesday,3 PM,Weekday
