Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,September,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,September,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,September,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,September,Monday,11 AM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,September,Monday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,September,Wednesday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,September,Thursday,5 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Sunday,2 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,February,Tuesday,9 AM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,3,3.75,11.25,2011,February,Tuesday,12 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Tuesday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,5.79,5.79,2011,February,Tuesday,4 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,72,3.29,236.88,2011,February,Wednesday,12 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Wednesday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Friday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Tuesday,9 AM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Thursday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,February,Thursday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,2,3.75,7.5,2011,February,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,12,3.75,45.0,2011,February,Monday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,4,3.75,15.0,2011,February,Tuesday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,12,3.75,45.0,2011,February,Thursday,11 AM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,72,3.29,236.88,2011,February,Thursday,12 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,February,Friday,12 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,3,3.75,11.25,2011,February,Friday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,2,3.75,7.5,2011,February,Tuesday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Wednesday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,February,Thursday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,February,Monday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,January,Sunday,12 PM,Weekend
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,January,Monday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,2,3.75,7.5,2011,January,Monday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,January,Tuesday,1 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,January,Monday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,4,6.95,27.8,2011,January,Monday,5 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,January,Tuesday,5 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,January,Thursday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,January,Thursday,3 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,January,Friday,9 AM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,January,Friday,12 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,December,Thursday,4 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,6,3.75,22.5,2011,December,Friday,2 PM,Weekday
EMBROIDERED RIBBON REEL SOPHIE,1,3.75,3.75,2011,December,Monday,4 PM,Weekday
