Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ENAMEL PINK TEA CONTAINER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.21,4.21,2010,December,Thursday,4 PM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2010,December,Thursday,5 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.21,4.21,2010,December,Friday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2011,January,Monday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,2,4.13,8.26,2011,January,Thursday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Friday,10 AM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2011,January,Monday,1 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Tuesday,5 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Friday,5 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Monday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Tuesday,10 AM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2011,January,Wednesday,10 AM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2011,January,Thursday,11 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,January,Thursday,11 AM,Weekday
ENAMEL PINK TEA CONTAINER,3,4.13,12.39,2011,January,Friday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,February,Tuesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,February,Wednesday,12 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,February,Thursday,10 AM,Weekday
ENAMEL PINK TEA CONTAINER,5,4.13,20.65,2011,February,Thursday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,2.1,2.1,2011,February,Sunday,3 PM,Weekend
ENAMEL PINK TEA CONTAINER,1,2.1,2.1,2011,February,Thursday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,2,4.13,8.26,2011,February,Thursday,6 PM,Weekday
ENAMEL PINK TEA CONTAINER,3,2.1,6.3,2011,February,Monday,12 PM,Weekday
ENAMEL PINK TEA CONTAINER,6,2.1,12.6,2011,March,Tuesday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,March,Thursday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,2.46,2.46,2011,March,Tuesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,24,0.83,19.92,2011,March,Tuesday,1 PM,Weekday
ENAMEL PINK TEA CONTAINER,3,0.83,2.49,2011,March,Tuesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,2.46,2.46,2011,March,Thursday,6 PM,Weekday
ENAMEL PINK TEA CONTAINER,2,2.46,4.92,2011,March,Thursday,6 PM,Weekday
ENAMEL PINK TEA CONTAINER,2,2.46,4.92,2011,March,Tuesday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,March,Tuesday,4 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,March,Tuesday,11 AM,Weekday
ENAMEL PINK TEA CONTAINER,6,0.83,4.98,2011,March,Tuesday,12 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,March,Wednesday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,24,0.83,19.92,2011,March,Wednesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,April,Friday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,April,Tuesday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,April,Wednesday,12 PM,Weekday
ENAMEL PINK TEA CONTAINER,24,0.83,19.92,2011,April,Monday,11 AM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,April,Wednesday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,4.13,4.13,2011,April,Friday,10 AM,Weekday
ENAMEL PINK TEA CONTAINER,1,2.46,2.46,2011,April,Monday,1 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,April,Tuesday,2 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,April,Thursday,12 PM,Weekday
ENAMEL PINK TEA CONTAINER,1,2.46,2.46,2011,April,Wednesday,5 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,May,Wednesday,3 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,May,Thursday,9 AM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,May,Thursday,4 PM,Weekday
ENAMEL PINK TEA CONTAINER,12,0.83,9.96,2011,May,Sunday,10 AM,Weekend
