Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ENAMEL WATERING CAN CREAM,1,10.17,10.17,2010,December,Wednesday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2010,December,Thursday,5 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2010,December,Sunday,1 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2010,December,Sunday,1 PM,Weekend
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2010,December,Sunday,4 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2010,December,Monday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2010,December,Monday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,1,10.17,10.17,2010,December,Tuesday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2010,December,Thursday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,10.17,10.17,2010,December,Thursday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2010,December,Tuesday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,1,10.17,10.17,2010,December,Friday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,1,10.17,10.17,2010,December,Tuesday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2011,January,Thursday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,January,Thursday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,January,Sunday,2 PM,Weekend
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,January,Monday,9 AM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,January,Monday,5 PM,Weekday
ENAMEL WATERING CAN CREAM,16,4.25,68.0,2011,January,Thursday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,January,Tuesday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,January,Tuesday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,January,Wednesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,January,Wednesday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,January,Thursday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,January,Friday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,February,Wednesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Wednesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Monday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,February,Monday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,February,Wednesday,4 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Thursday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,February,Sunday,12 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,February,Sunday,12 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,February,Sunday,12 PM,Weekend
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Monday,9 AM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,February,Monday,6 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Tuesday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Thursday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Thursday,6 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,February,Friday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,February,Sunday,2 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Sunday,2 PM,Weekend
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Monday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Monday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Wednesday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Friday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Sunday,12 PM,Weekend
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,March,Friday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Tuesday,10 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Tuesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2011,March,Thursday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Friday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,March,Monday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,March,Monday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Tuesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,March,Tuesday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,2,4.95,9.9,2011,March,Wednesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,3,4.95,14.85,2011,March,Thursday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,March,Thursday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Monday,10 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Thursday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Thursday,11 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Friday,9 AM,Weekday
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,April,Sunday,11 AM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,April,Sunday,3 PM,Weekend
ENAMEL WATERING CAN CREAM,1,4.95,4.95,2011,April,Tuesday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Thursday,9 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Monday,12 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Monday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Monday,2 PM,Weekday
ENAMEL WATERING CAN CREAM,1,9.96,9.96,2011,April,Tuesday,3 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Wednesday,9 AM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Thursday,1 PM,Weekday
ENAMEL WATERING CAN CREAM,4,4.95,19.8,2011,April,Tuesday,1 PM,Weekday
