Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
ENGLISH ROSE HOT WATER BOTTLE,24,3.75,90.0,2010,December,Wednesday,10 AM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Wednesday,11 AM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Wednesday,2 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,8.47,8.47,2010,December,Friday,11 AM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Friday,12 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Friday,2 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,8.47,33.88,2010,December,Friday,2 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Friday,2 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,12,4.25,51.0,2010,December,Friday,5 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Sunday,10 AM,Weekend
ENGLISH ROSE HOT WATER BOTTLE,3,4.25,12.75,2010,December,Sunday,12 PM,Weekend
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Sunday,2 PM,Weekend
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Monday,10 AM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Monday,12 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Monday,12 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Monday,1 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Monday,3 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,3,8.47,25.41,2010,December,Monday,4 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,4.25,17.0,2010,December,Tuesday,9 AM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,2,8.47,16.94,2010,December,Tuesday,3 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,4,8.47,33.88,2010,December,Tuesday,3 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,3,8.47,25.41,2010,December,Tuesday,6 PM,Weekday
ENGLISH ROSE HOT WATER BOTTLE,1,4.25,4.25,2010,December,Wednesday,12 PM,Weekday
