Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010,December,Wednesday,2 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010,December,Thursday,12 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010,December,Wednesday,10 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010,December,Wednesday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2010,December,Thursday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,3.75,3.75,2010,December,Friday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Thursday,9 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,7.62,7.62,2011,January,Tuesday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Monday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Tuesday,10 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,3.75,3.75,2011,January,Wednesday,4 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Friday,3 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Friday,3 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,January,Monday,9 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,8,3.75,30.0,2011,January,Monday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,3.75,3.75,2011,January,Monday,4 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,February,Tuesday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,2,7.46,14.92,2011,February,Friday,4 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,3.75,3.75,2011,February,Sunday,1 PM,Weekend
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,February,Wednesday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,February,Thursday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,February,Thursday,6 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,7.46,7.46,2011,March,Tuesday,4 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,5,3.75,18.75,2011,March,Thursday,8 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,12,3.75,45.0,2011,March,Thursday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,2,3.75,7.5,2011,March,Friday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,7.46,7.46,2011,March,Monday,5 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,March,Tuesday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,20,3.75,75.0,2011,March,Thursday,12 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,March,Friday,12 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,March,Tuesday,2 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,April,Friday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,7.46,7.46,2011,April,Wednesday,5 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,April,Wednesday,2 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,8,3.75,30.0,2011,April,Friday,9 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,1,7.46,7.46,2011,April,Monday,3 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,April,Tuesday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,April,Thursday,9 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,April,Thursday,1 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,May,Wednesday,4 PM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,May,Thursday,10 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,May,Thursday,11 AM,Weekday
FAIRY CAKE BIRTHDAY CANDLE SET,4,3.75,15.0,2011,May,Sunday,11 AM,Weekend
FAIRY CAKE BIRTHDAY CANDLE SET,8,3.75,30.0,2011,May,Monday,10 AM,Weekday
