Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FELTCRAFT BUTTERFLY HEARTS,4,1.45,5.8,2010,December,Wednesday,11 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,12,1.45,17.4,2010,December,Wednesday,2 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,40,1.25,50.0,2010,December,Wednesday,4 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,2,3.36,6.72,2010,December,Wednesday,5 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,4,1.45,5.8,2010,December,Thursday,2 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,12,1.45,17.4,2010,December,Thursday,3 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Friday,11 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,3,1.45,4.35,2010,December,Friday,11 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,1,3.36,3.36,2010,December,Friday,11 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,12,1.45,17.4,2010,December,Friday,4 PM,Weekday
FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,2010,December,Sunday,12 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,12,1.45,17.4,2010,December,Sunday,12 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Sunday,12 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Sunday,1 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,2010,December,Sunday,1 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Sunday,2 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Sunday,2 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,2010,December,Sunday,2 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,2010,December,Sunday,2 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,1,1.45,1.45,2010,December,Sunday,3 PM,Weekend
FELTCRAFT BUTTERFLY HEARTS,2,3.36,6.72,2010,December,Monday,9 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,3,3.36,10.08,2010,December,Monday,10 AM,Weekday
FELTCRAFT BUTTERFLY HEARTS,2,1.45,2.9,2010,December,Monday,11 AM,Weekday
