Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,3,1.66,4.98,2010,December,Wednesday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,24,0.38,9.12,2010,December,Friday,2 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,1.66,1.66,2010,December,Monday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,1.66,1.66,2010,December,Monday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.38,1.52,2010,December,Sunday,11 AM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,2,1.66,3.32,2011,January,Tuesday,1 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,1.66,1.66,2011,January,Wednesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,May,Thursday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,June,Thursday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,June,Thursday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.38,1.52,2011,July,Wednesday,12 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,24,0.38,9.12,2011,August,Thursday,11 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,August,Thursday,10 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,August,Wednesday,10 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,10,1.63,16.3,2011,August,Tuesday,10 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,5,0.38,1.9,2011,September,Sunday,12 PM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,September,Tuesday,12 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,September,Thursday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,36,0.38,13.68,2011,September,Thursday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,September,Wednesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,February,Sunday,12 PM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.38,1.52,2011,February,Sunday,3 PM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,3,0.83,2.49,2011,February,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,February,Tuesday,2 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,5,0.83,4.15,2011,February,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,36,0.38,13.68,2011,February,Wednesday,10 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,February,Monday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.83,3.32,2011,February,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,February,Tuesday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,February,Sunday,3 PM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,3,0.83,2.49,2011,February,Monday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,February,Friday,1 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,February,Sunday,11 AM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,February,Monday,2 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Tuesday,2 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,3,0.83,2.49,2011,January,Wednesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,January,Thursday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Friday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Tuesday,6 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Wednesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,January,Wednesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,10,0.83,8.3,2011,January,Friday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,January,Friday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.83,3.32,2011,January,Tuesday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,3,0.83,2.49,2011,January,Wednesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Thursday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Thursday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Friday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,January,Monday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,January,Tuesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Wednesday,11 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Thursday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Sunday,1 PM,Weekend
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.38,4.56,2011,January,Monday,1 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.38,1.52,2011,January,Tuesday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,4,0.83,3.32,2011,January,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,2,0.83,1.66,2011,January,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,December,Thursday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,December,Friday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.85,10.2,2011,December,Monday,3 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,8,0.83,6.64,2011,December,Monday,5 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,6,0.83,4.98,2011,December,Tuesday,4 PM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,1,0.83,0.83,2011,December,Thursday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,5,0.83,4.15,2011,December,Thursday,9 AM,Weekday
FOLK ART METAL STAR T-LIGHT HOLDER,12,0.39,4.68,2011,December,Thursday,1 PM,Weekday
