Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Wednesday,5 PM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Thursday,2 PM,Weekday
FOLKART CLIP ON STARS,3,1.66,4.98,2010,December,Friday,9 AM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Friday,5 PM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2010,December,Thursday,1 PM,Weekday
FOLKART CLIP ON STARS,3,1.66,4.98,2011,January,Monday,9 AM,Weekday
FOLKART CLIP ON STARS,2,1.66,3.32,2011,January,Wednesday,9 AM,Weekday
FOLKART CLIP ON STARS,1,1.66,1.66,2011,January,Wednesday,3 PM,Weekday
FOLKART CLIP ON STARS,2,1.63,3.26,2011,January,Thursday,2 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
FOLKART CLIP ON STARS,2,1.63,3.26,2011,January,Thursday,6 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,January,Thursday,6 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,January,Monday,1 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,February,Monday,2 PM,Weekday
FOLKART CLIP ON STARS,2,1.63,3.26,2011,April,Monday,4 PM,Weekday
FOLKART CLIP ON STARS,2,1.63,3.26,2011,July,Tuesday,4 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,July,Monday,3 PM,Weekday
FOLKART CLIP ON STARS,1,1.63,1.63,2011,August,Tuesday,10 AM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,September,Thursday,5 PM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,September,Friday,1 PM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,September,Friday,5 PM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,September,Friday,5 PM,Weekday
FOLKART CLIP ON STARS,6,0.39,2.34,2011,September,Sunday,12 PM,Weekend
FOLKART CLIP ON STARS,2,0.39,0.78,2011,September,Wednesday,12 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,September,Wednesday,4 PM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,September,Wednesday,4 PM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,September,Wednesday,4 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,September,Thursday,3 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,September,Friday,5 PM,Weekday
FOLKART CLIP ON STARS,4,0.39,1.56,2011,February,Sunday,3 PM,Weekend
FOLKART CLIP ON STARS,2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,February,Thursday,10 AM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,February,Thursday,4 PM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,February,Thursday,4 PM,Weekday
FOLKART CLIP ON STARS,72,0.39,28.08,2011,February,Friday,11 AM,Weekday
FOLKART CLIP ON STARS,12,0.39,4.68,2011,February,Sunday,11 AM,Weekend
FOLKART CLIP ON STARS,1,0.83,0.83,2011,February,Monday,4 PM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,February,Tuesday,11 AM,Weekday
FOLKART CLIP ON STARS,36,0.39,14.04,2011,February,Tuesday,2 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,February,Wednesday,4 PM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
FOLKART CLIP ON STARS,12,0.39,4.68,2011,February,Friday,11 AM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,February,Monday,3 PM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,February,Tuesday,5 PM,Weekday
FOLKART CLIP ON STARS,12,0.39,4.68,2011,February,Wednesday,11 AM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,February,Monday,5 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,February,Monday,5 PM,Weekday
FOLKART CLIP ON STARS,12,0.39,4.68,2011,February,Sunday,11 AM,Weekend
FOLKART CLIP ON STARS,5,0.39,1.95,2011,February,Sunday,4 PM,Weekend
FOLKART CLIP ON STARS,14,0.83,11.62,2011,February,Monday,2 PM,Weekday
FOLKART CLIP ON STARS,1,0.39,0.39,2011,January,Tuesday,12 PM,Weekday
FOLKART CLIP ON STARS,1,0.39,0.39,2011,January,Tuesday,12 PM,Weekday
FOLKART CLIP ON STARS,6,0.39,2.34,2011,January,Tuesday,12 PM,Weekday
FOLKART CLIP ON STARS,2,0.39,0.78,2011,January,Wednesday,2 PM,Weekday
FOLKART CLIP ON STARS,3,0.83,2.49,2011,January,Wednesday,3 PM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,January,Thursday,3 PM,Weekday
FOLKART CLIP ON STARS,4,0.39,1.56,2011,January,Sunday,11 AM,Weekend
FOLKART CLIP ON STARS,12,0.39,4.68,2011,January,Sunday,12 PM,Weekend
FOLKART CLIP ON STARS,3,0.39,1.17,2011,January,Sunday,2 PM,Weekend
FOLKART CLIP ON STARS,1,0.83,0.83,2011,January,Wednesday,4 PM,Weekday
FOLKART CLIP ON STARS,2,0.83,1.66,2011,January,Friday,1 PM,Weekday
FOLKART CLIP ON STARS,1,0.83,0.83,2011,January,Friday,5 PM,Weekday
FOLKART CLIP ON STARS,9,0.39,3.51,2011,January,Sunday,3 PM,Weekend
FOLKART CLIP ON STARS,6,0.39,2.34,2011,January,Sunday,4 PM,Weekend
FOLKART CLIP ON STARS,2,0.39,0.78,2011,January,Sunday,4 PM,Weekend
