Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2010,December,Sunday,11 AM,Weekend
FORKED CACTUS CANDLE,1,5.91,5.91,2010,December,Monday,9 AM,Weekday
FORKED CACTUS CANDLE,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
FORKED CACTUS CANDLE,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
FORKED CACTUS CANDLE,3,2.95,8.85,2010,December,Tuesday,5 PM,Weekday
FORKED CACTUS CANDLE,1,2.95,2.95,2011,January,Tuesday,1 PM,Weekday
FORKED CACTUS CANDLE,2,2.95,5.9,2011,January,Wednesday,4 PM,Weekday
FORKED CACTUS CANDLE,1,2.95,2.95,2011,February,Monday,12 PM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,April,Thursday,1 PM,Weekday
FORKED CACTUS CANDLE,2,2.95,5.9,2011,April,Thursday,4 PM,Weekday
FORKED CACTUS CANDLE,3,2.95,8.85,2011,May,Sunday,3 PM,Weekend
FORKED CACTUS CANDLE,1,2.95,2.95,2011,May,Wednesday,12 PM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,May,Tuesday,10 AM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,May,Thursday,6 PM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,July,Wednesday,4 PM,Weekday
FORKED CACTUS CANDLE,1,2.95,2.95,2011,July,Sunday,3 PM,Weekend
FORKED CACTUS CANDLE,1,2.95,2.95,2011,August,Sunday,2 PM,Weekend
FORKED CACTUS CANDLE,1,2.95,2.95,2011,September,Sunday,3 PM,Weekend
FORKED CACTUS CANDLE,2,2.95,5.9,2011,September,Thursday,2 PM,Weekday
FORKED CACTUS CANDLE,12,2.95,35.4,2011,September,Friday,9 AM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,September,Wednesday,2 PM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,September,Sunday,1 PM,Weekend
FORKED CACTUS CANDLE,6,2.95,17.7,2011,September,Wednesday,12 PM,Weekday
FORKED CACTUS CANDLE,4,2.95,11.8,2011,September,Wednesday,3 PM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,January,Thursday,4 PM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,January,Tuesday,3 PM,Weekday
FORKED CACTUS CANDLE,6,2.95,17.7,2011,January,Friday,9 AM,Weekday
FORKED CACTUS CANDLE,6,2.55,15.3,2011,January,Wednesday,3 PM,Weekday
FORKED CACTUS CANDLE,1,2.95,2.95,2011,January,Monday,11 AM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,January,Monday,3 PM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,January,Tuesday,4 PM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,December,Tuesday,4 PM,Weekday
FORKED CACTUS CANDLE,1,5.79,5.79,2011,December,Wednesday,10 AM,Weekday
FORKED CACTUS CANDLE,1,1.25,1.25,2011,December,Friday,11 AM,Weekday
