Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,7.62,7.62,2010,December,Friday,11 AM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,2,3.75,7.5,2010,December,Sunday,10 AM,Weekend
FRENCH ENAMEL UTENSIL HOLDER,4,3.75,15.0,2010,December,Sunday,2 PM,Weekend
FRENCH ENAMEL UTENSIL HOLDER,1,3.75,3.75,2010,December,Sunday,2 PM,Weekend
FRENCH ENAMEL UTENSIL HOLDER,1,3.75,3.75,2010,December,Wednesday,12 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,3.75,3.75,2010,December,Thursday,4 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,2,7.62,15.24,2010,December,Monday,11 AM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,2,7.62,15.24,2010,December,Friday,2 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,7.62,7.62,2010,December,Friday,4 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,7.62,7.62,2011,January,Tuesday,1 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,3.75,3.75,2011,January,Wednesday,3 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,3.75,3.75,2011,January,Thursday,3 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,1,7.62,7.62,2011,January,Tuesday,1 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,4,3.75,15.0,2011,January,Thursday,9 AM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,2,3.75,7.5,2011,January,Monday,4 PM,Weekday
FRENCH ENAMEL UTENSIL HOLDER,20,2.95,59.0,2011,January,Tuesday,10 AM,Weekday
