Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FRENCH ENAMEL WATER BASIN,1,3.75,3.75,2010,December,Tuesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2010,December,Thursday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2010,December,Thursday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,1,7.62,7.62,2010,December,Friday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2010,December,Wednesday,10 AM,Weekday
FRENCH ENAMEL WATER BASIN,9,3.36,30.24,2010,December,Thursday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Tuesday,12 PM,Weekday
FRENCH ENAMEL WATER BASIN,12,3.36,40.32,2011,January,Tuesday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,3,3.36,10.08,2011,January,Wednesday,11 AM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.36,3.36,2011,January,Wednesday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Wednesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,3,3.36,10.08,2011,January,Wednesday,4 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Thursday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,4,3.36,13.44,2011,January,Thursday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.36,3.36,2011,January,Friday,11 AM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.36,3.36,2011,January,Friday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Friday,4 PM,Weekday
FRENCH ENAMEL WATER BASIN,2,3.36,6.72,2011,January,Monday,9 AM,Weekday
FRENCH ENAMEL WATER BASIN,16,1.25,20.0,2011,January,Monday,10 AM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.36,3.36,2011,January,Monday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Tuesday,9 AM,Weekday
FRENCH ENAMEL WATER BASIN,3,3.36,10.08,2011,January,Tuesday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Tuesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,9,3.36,30.24,2011,January,Wednesday,9 AM,Weekday
FRENCH ENAMEL WATER BASIN,2,3.36,6.72,2011,January,Wednesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Thursday,9 AM,Weekday
FRENCH ENAMEL WATER BASIN,2,3.29,6.58,2011,January,Thursday,9 AM,Weekday
FRENCH ENAMEL WATER BASIN,2,3.29,6.58,2011,January,Thursday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,4,3.29,13.16,2011,January,Friday,2 PM,Weekday
FRENCH ENAMEL WATER BASIN,7,3.29,23.03,2011,January,Monday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,2,3.29,6.58,2011,January,Monday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,4,3.29,13.16,2011,January,Monday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.29,3.29,2011,January,Tuesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,1,3.75,3.75,2011,January,Tuesday,4 PM,Weekday
FRENCH ENAMEL WATER BASIN,7,3.29,23.03,2011,January,Wednesday,3 PM,Weekday
FRENCH ENAMEL WATER BASIN,3,3.29,9.87,2011,January,Thursday,6 PM,Weekday
FRENCH ENAMEL WATER BASIN,3,3.29,9.87,2011,January,Thursday,6 PM,Weekday
FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,January,Friday,1 PM,Weekday
FRENCH ENAMEL WATER BASIN,10,3.29,32.9,2011,January,Friday,5 PM,Weekday
FRENCH ENAMEL WATER BASIN,16,1.25,20.0,2011,January,Tuesday,3 PM,Weekday
