Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
FUSCHIA VOILE POINTY SHOE DEC,1,1.95,1.95,2010,December,Wednesday,12 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,1,1.95,1.95,2010,December,Friday,5 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,6,1.95,11.7,2011,March,Friday,9 AM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,5,0.39,1.95,2011,April,Tuesday,1 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,4,0.39,1.56,2011,April,Wednesday,12 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,3,0.39,1.17,2011,May,Friday,11 AM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,2,0.39,0.78,2011,May,Monday,1 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,3,0.39,1.17,2011,May,Monday,12 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,12,0.39,4.68,2011,June,Monday,3 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,24,0.39,9.36,2011,June,Wednesday,2 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,12,0.39,4.68,2011,June,Thursday,11 AM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,1,0.39,0.39,2011,July,Thursday,4 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,2,0.39,0.78,2011,July,Friday,5 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,12,0.39,4.68,2011,August,Friday,12 PM,Weekday
FUSCHIA VOILE POINTY SHOE DEC,9,0.39,3.51,2011,September,Thursday,5 PM,Weekday
