Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,8.47,8.47,2010,December,Wednesday,5 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2010,December,Thursday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,24,3.39,81.36,2010,December,Thursday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2010,December,Sunday,1 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2010,December,Thursday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2010,December,Wednesday,9 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,6,3.75,22.5,2011,January,Wednesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,8,3.75,30.0,2011,January,Thursday,9 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,January,Sunday,2 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,January,Tuesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,January,Friday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,January,Thursday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Tuesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,February,Friday,10 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,February,Friday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,February,Monday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Monday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,8,3.75,30.0,2011,February,Friday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,February,Sunday,12 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,February,Monday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,February,Wednesday,10 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Wednesday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Wednesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,8,3.75,30.0,2011,February,Wednesday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Tuesday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Thursday,9 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,February,Thursday,10 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Tuesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Friday,10 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,6,3.75,22.5,2011,March,Sunday,11 AM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,March,Monday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Tuesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Wednesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,March,Wednesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,March,Thursday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Friday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Monday,10 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,March,Wednesday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,8.29,8.29,2011,March,Sunday,11 AM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,March,Sunday,1 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,March,Wednesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,March,Thursday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,12,3.75,45.0,2011,March,Friday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,12,3.75,45.0,2011,March,Friday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,March,Sunday,4 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,1,8.29,8.29,2011,March,Monday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,March,Wednesday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,6,3.75,22.5,2011,March,Thursday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,April,Monday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,April,Tuesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,12,3.75,45.0,2011,April,Thursday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,April,Friday,8 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,April,Friday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,April,Sunday,4 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,April,Friday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,April,Monday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,April,Wednesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,April,Thursday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,April,Tuesday,9 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,April,Tuesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,April,Tuesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,April,Tuesday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,12,3.75,45.0,2011,May,Tuesday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Tuesday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,5,3.75,18.75,2011,May,Tuesday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,12,3.75,45.0,2011,May,Wednesday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Thursday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Thursday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,May,Thursday,5 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Friday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Sunday,4 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Tuesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Tuesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Tuesday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Friday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Sunday,11 AM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,1,3.75,3.75,2011,May,Monday,4 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Wednesday,11 AM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Wednesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Wednesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Sunday,11 AM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Sunday,12 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Sunday,2 PM,Weekend
GAOLERS KEYS DECORATIVE GARDEN,4,3.75,15.0,2011,May,Monday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Monday,1 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Tuesday,12 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,May,Tuesday,2 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,3,3.75,11.25,2011,May,Tuesday,3 PM,Weekday
GAOLERS KEYS DECORATIVE GARDEN,2,3.75,7.5,2011,June,Thursday,7 PM,Weekday
