Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GARDENERS KNEELING PAD CUP OF TEA,96,1.45,139.2,2011,May,Sunday,11 AM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,6,1.65,9.9,2011,May,Sunday,12 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Sunday,12 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Sunday,1 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,1,1.65,1.65,2011,May,Sunday,1 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,4,1.65,6.6,2011,May,Sunday,3 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,1,1.65,1.65,2011,May,Sunday,4 PM,Weekend
GARDENERS KNEELING PAD CUP OF TEA,96,1.45,139.2,2011,May,Monday,12 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,3.29,6.58,2011,May,Monday,4 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,72,1.18,84.96,2011,May,Tuesday,11 AM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,6,1.65,9.9,2011,May,Tuesday,12 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Tuesday,12 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,1,1.65,1.65,2011,May,Tuesday,2 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Tuesday,2 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,48,1.45,69.6,2011,May,Tuesday,3 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Tuesday,4 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Wednesday,12 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,4,1.65,6.6,2011,May,Wednesday,12 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,2,1.65,3.3,2011,May,Wednesday,2 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,5,1.65,8.25,2011,May,Wednesday,3 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,3,1.65,4.95,2011,May,Thursday,11 AM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,1,1.65,1.65,2011,May,Thursday,1 PM,Weekday
GARDENERS KNEELING PAD CUP OF TEA,12,1.65,19.8,2011,May,Thursday,2 PM,Weekday
