Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GINGERBREAD MAN COOKIE CUTTER,24,1.25,30.0,2010,December,Wednesday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,3,2.51,7.53,2010,December,Wednesday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Wednesday,4 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,6 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
GINGERBREAD MAN COOKIE CUTTER,4,1.25,5.0,2010,December,Friday,3 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Sunday,11 AM,Weekend
GINGERBREAD MAN COOKIE CUTTER,8,1.25,10.0,2010,December,Sunday,3 PM,Weekend
GINGERBREAD MAN COOKIE CUTTER,2,2.51,5.02,2010,December,Monday,10 AM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Monday,12 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Monday,12 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,1.25,1.25,2010,December,Monday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,8,1.25,10.0,2010,December,Monday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,2,2.51,5.02,2010,December,Monday,4 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Tuesday,11 AM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Tuesday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,4,1.25,5.0,2010,December,Wednesday,10 AM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Wednesday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Wednesday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,2,2.51,5.02,2010,December,Wednesday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,1.25,1.25,2010,December,Wednesday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,1.25,1.25,2010,December,Wednesday,3 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Wednesday,4 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,24,1.25,30.0,2010,December,Wednesday,4 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,12 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,1 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Thursday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,2.51,2.51,2010,December,Thursday,4 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,2.51,2.51,2010,December,Friday,9 AM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,1.25,1.25,2010,December,Friday,12 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2010,December,Friday,12 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
GINGERBREAD MAN COOKIE CUTTER,24,1.25,30.0,2010,December,Friday,3 PM,Weekday
