Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Thursday,12 PM,Weekday
GIRAFFE WOODEN RULER,1,1.95,1.95,2011,February,Friday,3 PM,Weekday
GIRAFFE WOODEN RULER,1,1.95,1.95,2011,February,Friday,3 PM,Weekday
GIRAFFE WOODEN RULER,6,1.95,11.7,2011,February,Sunday,2 PM,Weekend
GIRAFFE WOODEN RULER,144,1.65,237.6,2011,February,Monday,1 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Tuesday,1 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,10 AM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Wednesday,4 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Friday,12 PM,Weekday
GIRAFFE WOODEN RULER,48,1.95,93.6,2011,February,Friday,1 PM,Weekday
GIRAFFE WOODEN RULER,1,3.75,3.75,2011,February,Monday,10 AM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,February,Monday,1 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Wednesday,12 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Wednesday,4 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Friday,2 PM,Weekday
GIRAFFE WOODEN RULER,3,1.95,5.85,2011,March,Monday,5 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Tuesday,9 AM,Weekday
GIRAFFE WOODEN RULER,2,3.75,7.5,2011,March,Tuesday,3 PM,Weekday
GIRAFFE WOODEN RULER,1,1.95,1.95,2011,March,Wednesday,12 PM,Weekday
GIRAFFE WOODEN RULER,5,1.95,9.75,2011,March,Wednesday,12 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Thursday,10 AM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Thursday,12 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Friday,12 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Monday,3 PM,Weekday
GIRAFFE WOODEN RULER,24,1.95,46.8,2011,March,Tuesday,10 AM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Tuesday,3 PM,Weekday
GIRAFFE WOODEN RULER,1,3.75,3.75,2011,March,Thursday,6 PM,Weekday
GIRAFFE WOODEN RULER,6,1.95,11.7,2011,March,Friday,1 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Sunday,2 PM,Weekend
GIRAFFE WOODEN RULER,6,1.95,11.7,2011,March,Monday,2 PM,Weekday
GIRAFFE WOODEN RULER,6,1.95,11.7,2011,March,Monday,3 PM,Weekday
GIRAFFE WOODEN RULER,1,1.95,1.95,2011,March,Tuesday,1 PM,Weekday
GIRAFFE WOODEN RULER,1,3.75,3.75,2011,March,Tuesday,3 PM,Weekday
GIRAFFE WOODEN RULER,3,1.95,5.85,2011,March,Wednesday,11 AM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Thursday,1 PM,Weekday
GIRAFFE WOODEN RULER,24,1.95,46.8,2011,March,Thursday,3 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Thursday,5 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Monday,10 AM,Weekday
GIRAFFE WOODEN RULER,1,3.75,3.75,2011,March,Monday,3 PM,Weekday
GIRAFFE WOODEN RULER,36,1.95,70.2,2011,March,Tuesday,1 PM,Weekday
GIRAFFE WOODEN RULER,4,1.95,7.8,2011,March,Tuesday,3 PM,Weekday
GIRAFFE WOODEN RULER,22,4.95,108.9,2011,March,Tuesday,4 PM,Weekday
GIRAFFE WOODEN RULER,12,1.95,23.4,2011,March,Wednesday,11 AM,Weekday
