Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GLASS CHALICE GREEN  SMALL,2,3.36,6.72,2010,December,Monday,9 AM,Weekday
GLASS CHALICE GREEN  SMALL,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
GLASS CHALICE GREEN  SMALL,36,1.45,52.2,2010,December,Tuesday,1 PM,Weekday
GLASS CHALICE GREEN  SMALL,3,1.65,4.95,2011,January,Friday,10 AM,Weekday
GLASS CHALICE GREEN  SMALL,6,1.65,9.9,2011,January,Friday,1 PM,Weekday
GLASS CHALICE GREEN  SMALL,2,3.29,6.58,2011,January,Monday,5 PM,Weekday
GLASS CHALICE GREEN  SMALL,6,1.65,9.9,2011,January,Thursday,4 PM,Weekday
GLASS CHALICE GREEN  SMALL,6,1.65,9.9,2011,February,Thursday,10 AM,Weekday
GLASS CHALICE GREEN  SMALL,2,3.29,6.58,2011,February,Thursday,11 AM,Weekday
GLASS CHALICE GREEN  SMALL,3,1.65,4.95,2011,February,Tuesday,4 PM,Weekday
GLASS CHALICE GREEN  SMALL,2,1.65,3.3,2011,February,Monday,10 AM,Weekday
GLASS CHALICE GREEN  SMALL,2,3.29,6.58,2011,March,Sunday,11 AM,Weekend
GLASS CHALICE GREEN  SMALL,4,3.29,13.16,2011,March,Tuesday,9 AM,Weekday
GLASS CHALICE GREEN  SMALL,1,1.65,1.65,2011,March,Wednesday,12 PM,Weekday
GLASS CHALICE GREEN  SMALL,72,0.39,28.08,2011,April,Friday,9 AM,Weekday
GLASS CHALICE GREEN  SMALL,1,3.29,3.29,2011,April,Monday,3 PM,Weekday
GLASS CHALICE GREEN  SMALL,2,0.39,0.78,2011,April,Tuesday,12 PM,Weekday
GLASS CHALICE GREEN  SMALL,6,0.39,2.34,2011,April,Thursday,12 PM,Weekday
GLASS CHALICE GREEN  SMALL,4,0.39,1.56,2011,April,Sunday,1 PM,Weekend
