Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GLASS CLOCHE SMALL,3,3.95,11.85,2010,December,Wednesday,9 AM,Weekday
GLASS CLOCHE SMALL,24,3.39,81.36,2010,December,Thursday,4 PM,Weekday
GLASS CLOCHE SMALL,2,3.95,7.9,2010,December,Sunday,1 PM,Weekend
GLASS CLOCHE SMALL,8,3.95,31.6,2010,December,Wednesday,12 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Wednesday,2 PM,Weekday
GLASS CLOCHE SMALL,4,3.95,15.8,2010,December,Wednesday,3 PM,Weekday
GLASS CLOCHE SMALL,24,3.39,81.36,2010,December,Thursday,9 AM,Weekday
GLASS CLOCHE SMALL,1,3.95,3.95,2010,December,Thursday,12 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Thursday,2 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Thursday,4 PM,Weekday
GLASS CLOCHE SMALL,2,3.95,7.9,2010,December,Friday,11 AM,Weekday
GLASS CLOCHE SMALL,4,3.95,15.8,2010,December,Tuesday,1 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
GLASS CLOCHE SMALL,2,8.47,16.94,2010,December,Friday,4 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Friday,5 PM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
GLASS CLOCHE SMALL,2,8.47,16.94,2010,December,Tuesday,3 PM,Weekday
GLASS CLOCHE SMALL,8,3.95,31.6,2010,December,Thursday,12 PM,Weekday
GLASS CLOCHE SMALL,4,3.95,15.8,2011,January,Friday,10 AM,Weekday
GLASS CLOCHE SMALL,1,8.47,8.47,2011,January,Monday,2 PM,Weekday
GLASS CLOCHE SMALL,1,8.29,8.29,2011,January,Friday,10 AM,Weekday
GLASS CLOCHE SMALL,1,3.95,3.95,2011,January,Sunday,11 AM,Weekend
GLASS CLOCHE SMALL,2,3.95,7.9,2011,January,Monday,12 PM,Weekday
GLASS CLOCHE SMALL,24,3.39,81.36,2011,January,Monday,1 PM,Weekday
GLASS CLOCHE SMALL,1,8.29,8.29,2011,January,Tuesday,3 PM,Weekday
GLASS CLOCHE SMALL,1,3.95,3.95,2011,January,Tuesday,4 PM,Weekday
GLASS CLOCHE SMALL,3,3.95,11.85,2011,January,Wednesday,3 PM,Weekday
GLASS CLOCHE SMALL,2,3.95,7.9,2011,January,Wednesday,4 PM,Weekday
GLASS CLOCHE SMALL,4,3.95,15.8,2011,January,Friday,11 AM,Weekday
GLASS CLOCHE SMALL,4,3.95,15.8,2011,January,Monday,1 PM,Weekday
