Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2010,December,Wednesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Wednesday,5 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Friday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2010,December,Sunday,1 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2010,December,Wednesday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Thursday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,2.95,5.9,2010,December,Sunday,4 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Monday,10 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,January,Thursday,9 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,24,2.55,61.2,2011,January,Thursday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,2.95,5.9,2011,January,Thursday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,5.91,11.82,2011,January,Monday,9 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,January,Tuesday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,January,Monday,5 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,January,Tuesday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,January,Thursday,6 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,January,Friday,5 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,January,Wednesday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,24,2.55,61.2,2011,January,Monday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,February,Tuesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,February,Thursday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,February,Friday,10 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Friday,10 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,February,Tuesday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Wednesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Monday,9 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,February,Tuesday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Thursday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Tuesday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Wednesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,February,Sunday,2 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,February,Monday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,March,Friday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Sunday,12 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,March,Monday,5 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,March,Tuesday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,24,2.55,61.2,2011,March,Friday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Monday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Thursday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,March,Sunday,11 AM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Sunday,1 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Thursday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,March,Thursday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,March,Monday,9 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,March,Monday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,2.95,5.9,2011,March,Tuesday,12 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,5.79,11.58,2011,March,Thursday,4 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,3,2.95,8.85,2011,April,Friday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,April,Sunday,12 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,April,Sunday,12 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,April,Tuesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,24,2.55,61.2,2011,April,Tuesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,April,Thursday,10 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,April,Friday,10 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,April,Sunday,12 PM,Weekend
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,April,Tuesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,April,Tuesday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,April,Thursday,6 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,April,Tuesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,April,Tuesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,April,Tuesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,April,Tuesday,5 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,24,2.55,61.2,2011,April,Wednesday,8 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,May,Tuesday,1 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,May,Thursday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,10,2.55,25.5,2011,May,Friday,2 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,2,2.95,5.9,2011,May,Sunday,11 AM,Weekend
GLASS JAR DIGESTIVE BISCUITS,6,2.95,17.7,2011,May,Tuesday,11 AM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,5.79,5.79,2011,May,Tuesday,3 PM,Weekday
GLASS JAR DIGESTIVE BISCUITS,1,2.95,2.95,2011,May,Thursday,8 PM,Weekday
