Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Wednesday,4 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,3,3.75,11.25,2010,December,Thursday,11 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Thursday,12 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,24,3.75,90.0,2010,December,Friday,12 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010,December,Friday,12 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Sunday,11 AM,Weekend
GREEN 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010,December,Sunday,1 PM,Weekend
GREEN 3 PIECE POLKADOT CUTLERY SET,2,3.75,7.5,2010,December,Monday,11 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,2,3.75,7.5,2010,December,Monday,12 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,4,3.75,15.0,2010,December,Monday,3 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,1,7.62,7.62,2010,December,Monday,4 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,4,3.75,15.0,2010,December,Tuesday,10 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,3,3.75,11.25,2010,December,Tuesday,1 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Wednesday,10 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010,December,Wednesday,1 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Wednesday,2 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010,December,Wednesday,3 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,4,3.75,15.0,2010,December,Sunday,10 AM,Weekend
GREEN 3 PIECE POLKADOT CUTLERY SET,1,3.75,3.75,2010,December,Sunday,10 AM,Weekend
GREEN 3 PIECE POLKADOT CUTLERY SET,5,3.75,18.75,2010,December,Monday,2 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,2,3.75,7.5,2010,December,Monday,3 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,2,3.75,7.5,2010,December,Tuesday,11 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,7,3.75,26.25,2010,December,Tuesday,1 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,2,3.75,7.5,2010,December,Tuesday,1 PM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,4,3.75,15.0,2010,December,Wednesday,11 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,6,3.75,22.5,2010,December,Thursday,9 AM,Weekday
GREEN 3 PIECE POLKADOT CUTLERY SET,18,3.75,67.5,2010,December,Thursday,7 PM,Weekday
