Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2010,December,Wednesday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2010,December,Wednesday,5 PM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2010,December,Monday,10 AM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2010,December,Tuesday,2 PM,Weekday
GREEN ROSE WASHBAG,3,3.36,10.08,2010,December,Tuesday,3 PM,Weekday
GREEN ROSE WASHBAG,5,3.36,16.8,2010,December,Tuesday,6 PM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2010,December,Wednesday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2010,December,Thursday,2 PM,Weekday
GREEN ROSE WASHBAG,3,3.75,11.25,2010,December,Sunday,11 AM,Weekend
GREEN ROSE WASHBAG,2,3.75,7.5,2010,December,Sunday,4 PM,Weekend
GREEN ROSE WASHBAG,1,3.75,3.75,2010,December,Thursday,4 PM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2010,December,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2010,December,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2010,December,Friday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2010,December,Monday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.36,3.36,2011,January,Tuesday,1 PM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2011,January,Friday,11 AM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,January,Monday,9 AM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2011,January,Monday,9 AM,Weekday
GREEN ROSE WASHBAG,2,3.36,6.72,2011,January,Wednesday,9 AM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,January,Thursday,9 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Thursday,2 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,January,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Tuesday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Tuesday,5 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,January,Thursday,6 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Friday,5 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,January,Monday,9 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Monday,9 AM,Weekday
GREEN ROSE WASHBAG,2,3.75,7.5,2011,January,Tuesday,11 AM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,January,Thursday,11 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,January,Monday,12 PM,Weekday
GREEN ROSE WASHBAG,2,3.75,7.5,2011,February,Tuesday,1 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,February,Friday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,February,Monday,9 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,February,Wednesday,3 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,February,Friday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,February,Monday,6 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,February,Tuesday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,February,Monday,10 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,March,Thursday,9 AM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,March,Thursday,4 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,March,Thursday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,March,Tuesday,3 PM,Weekday
GREEN ROSE WASHBAG,3,3.75,11.25,2011,March,Wednesday,1 PM,Weekday
GREEN ROSE WASHBAG,4,3.29,13.16,2011,March,Thursday,6 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,March,Thursday,6 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,March,Tuesday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,March,Wednesday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,March,Friday,12 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,April,Monday,10 AM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,April,Tuesday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,April,Wednesday,5 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,April,Thursday,6 PM,Weekday
GREEN ROSE WASHBAG,2,3.75,7.5,2011,April,Sunday,3 PM,Weekend
GREEN ROSE WASHBAG,2,3.75,7.5,2011,April,Wednesday,4 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,April,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,April,Friday,2 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,April,Monday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Thursday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Friday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Friday,3 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,May,Sunday,11 AM,Weekend
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Monday,4 PM,Weekday
GREEN ROSE WASHBAG,4,3.75,15.0,2011,May,Tuesday,1 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Tuesday,4 PM,Weekday
GREEN ROSE WASHBAG,1,3.75,3.75,2011,May,Wednesday,12 PM,Weekday
GREEN ROSE WASHBAG,2,3.29,6.58,2011,May,Wednesday,3 PM,Weekday
GREEN ROSE WASHBAG,1,3.29,3.29,2011,May,Thursday,6 PM,Weekday
