Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
"GREETING CARD, TWO SISTERS.",13,0.43,5.59,2010,December,Thursday,1 PM,Weekday
"GREETING CARD, TWO SISTERS.",10,0.43,4.3,2011,January,Tuesday,1 PM,Weekday
"GREETING CARD, TWO SISTERS.",3,0.43,1.29,2011,January,Wednesday,11 AM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.43,0.86,2011,January,Wednesday,2 PM,Weekday
"GREETING CARD, TWO SISTERS.",4,0.43,1.72,2011,January,Wednesday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",3,0.43,1.29,2011,January,Thursday,2 PM,Weekday
"GREETING CARD, TWO SISTERS.",3,0.43,1.29,2011,January,Friday,11 AM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.43,0.43,2011,January,Friday,1 PM,Weekday
"GREETING CARD, TWO SISTERS.",12,0.19,2.28,2011,January,Friday,2 PM,Weekday
"GREETING CARD, TWO SISTERS.",4,0.43,1.72,2011,January,Monday,9 AM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.43,0.43,2011,January,Monday,2 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.43,0.43,2011,January,Monday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",5,0.43,2.15,2011,January,Tuesday,1 PM,Weekday
"GREETING CARD, TWO SISTERS.",4,0.43,1.72,2011,January,Wednesday,9 AM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.43,0.43,2011,January,Wednesday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",3,0.42,1.26,2011,January,Thursday,9 AM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.42,0.84,2011,January,Friday,2 PM,Weekday
"GREETING CARD, TWO SISTERS.",4,0.42,1.68,2011,January,Monday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",5,0.42,2.1,2011,January,Monday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.42,0.42,2011,January,Monday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.42,0.84,2011,January,Monday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.42,0.84,2011,January,Tuesday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",3,0.42,1.26,2011,January,Tuesday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",6,0.42,2.52,2011,January,Wednesday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.42,0.84,2011,January,Thursday,6 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.42,0.42,2011,January,Thursday,6 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.42,0.84,2011,January,Friday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.83,1.66,2011,January,Friday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,February,Wednesday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",12,0.19,2.28,2011,April,Sunday,3 PM,Weekend
"GREETING CARD, TWO SISTERS.",1,0.19,0.19,2011,May,Wednesday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,May,Thursday,6 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,May,Friday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,June,Friday,5 PM,Weekday
"GREETING CARD, TWO SISTERS.",2,0.83,1.66,2011,June,Monday,3 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,July,Tuesday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,July,Monday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,August,Wednesday,4 PM,Weekday
"GREETING CARD, TWO SISTERS.",1,0.83,0.83,2011,August,Thursday,4 PM,Weekday
