Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Thursday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,2,3.75,7.5,2010,December,Thursday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Thursday,1 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,2,3.75,7.5,2010,December,Thursday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Thursday,3 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,2,3.75,7.5,2010,December,Friday,3 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,11 AM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,16,3.75,60.0,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,20,3.75,75.0,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,1 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,7.62,7.62,2010,December,Monday,10 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,3,3.75,11.25,2010,December,Monday,12 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Monday,12 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Tuesday,1 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Tuesday,1 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,7.62,7.62,2010,December,Wednesday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Wednesday,4 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Thursday,1 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,8,3.75,30.0,2010,December,Thursday,3 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,2,7.62,15.24,2010,December,Friday,9 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,2,3.75,7.5,2010,December,Friday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,12 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,3,3.75,11.25,2010,December,Sunday,4 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Tuesday,11 AM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Tuesday,12 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Wednesday,4 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,4,3.75,15.0,2010,December,Thursday,3 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Thursday,7 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Friday,5 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,2 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2010,December,Sunday,3 PM,Weekend
GREY FLORAL FELTCRAFT SHOULDER BAG,1,7.62,7.62,2010,December,Tuesday,12 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,16,3.75,60.0,2011,January,Wednesday,1 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,3,3.75,11.25,2011,January,Friday,2 PM,Weekday
GREY FLORAL FELTCRAFT SHOULDER BAG,6,3.75,22.5,2011,January,Tuesday,12 PM,Weekday
