Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,3,3.75,11.25,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Wednesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,36,3.39,122.04,2010,December,Wednesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,5 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Thursday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Thursday,7 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Thursday,7 PM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Friday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Friday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,18,3.75,67.5,2010,December,Sunday,1 PM,Weekend
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Sunday,2 PM,Weekend
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Sunday,4 PM,Weekend
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Sunday,4 PM,Weekend
GREY HEART HOT WATER BOTTLE,4,7.62,30.48,2010,December,Monday,9 AM,Weekday
GREY HEART HOT WATER BOTTLE,1,7.62,7.62,2010,December,Monday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Monday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Monday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Monday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Monday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,16,3.75,60.0,2010,December,Tuesday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Tuesday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Tuesday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Tuesday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,3,3.75,11.25,2010,December,Tuesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,7.62,7.62,2010,December,Tuesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,8.47,8.47,2010,December,Tuesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,12,3.75,45.0,2010,December,Tuesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,2,7.62,15.24,2010,December,Tuesday,6 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,7.62,7.62,2010,December,Wednesday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,7,3.75,26.25,2010,December,Wednesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,3,3.75,11.25,2010,December,Wednesday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Thursday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Thursday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,3,3.75,11.25,2010,December,Thursday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Thursday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,18,3.75,67.5,2010,December,Thursday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Thursday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Thursday,6 PM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Thursday,6 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,7.62,7.62,2010,December,Friday,9 AM,Weekday
GREY HEART HOT WATER BOTTLE,1,8.47,8.47,2010,December,Friday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Sunday,11 AM,Weekend
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Sunday,11 AM,Weekend
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Sunday,11 AM,Weekend
GREY HEART HOT WATER BOTTLE,36,3.39,122.04,2010,December,Sunday,12 PM,Weekend
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Sunday,1 PM,Weekend
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Sunday,4 PM,Weekend
GREY HEART HOT WATER BOTTLE,1,7.62,7.62,2010,December,Monday,9 AM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Monday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Monday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Monday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Monday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,12,3.75,45.0,2010,December,Monday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Monday,2 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Monday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,18,3.75,67.5,2010,December,Monday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Tuesday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Tuesday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Tuesday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,18,3.75,67.5,2010,December,Tuesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,12,3.75,45.0,2010,December,Tuesday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Tuesday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,2,8.47,16.94,2010,December,Tuesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Wednesday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,6,3.75,22.5,2010,December,Wednesday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,5,3.75,18.75,2010,December,Wednesday,11 AM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Wednesday,12 PM,Weekday
GREY HEART HOT WATER BOTTLE,2,3.75,7.5,2010,December,Wednesday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,3,3.75,11.25,2010,December,Wednesday,1 PM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Wednesday,3 PM,Weekday
GREY HEART HOT WATER BOTTLE,36,3.39,122.04,2010,December,Wednesday,4 PM,Weekday
GREY HEART HOT WATER BOTTLE,8,3.75,30.0,2010,December,Thursday,8 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,9 AM,Weekday
GREY HEART HOT WATER BOTTLE,4,3.75,15.0,2010,December,Thursday,10 AM,Weekday
GREY HEART HOT WATER BOTTLE,1,3.75,3.75,2010,December,Thursday,1 PM,Weekday
