Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2010,December,Thursday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2010,December,Friday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2010,December,Friday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2010,December,Friday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2010,December,Sunday,1 PM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2010,December,Thursday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Friday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Thursday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Monday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Monday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Thursday,1 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Monday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,February,Friday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,1,0.65,0.65,2011,March,Tuesday,4 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,March,Sunday,3 PM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,March,Friday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,March,Wednesday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,March,Thursday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,April,Sunday,11 AM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,April,Monday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,April,Sunday,10 AM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,April,Wednesday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,April,Wednesday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,May,Monday,10 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,June,Thursday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,June,Sunday,12 PM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.65,23.4,2011,June,Tuesday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,June,Wednesday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,July,Friday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,July,Tuesday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Tuesday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Tuesday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Monday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,August,Wednesday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Wednesday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Thursday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,August,Tuesday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,September,Thursday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,September,Friday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Sunday,2 PM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Tuesday,2 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,February,Wednesday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Tuesday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,February,Thursday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,1,0.65,0.65,2011,February,Thursday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Monday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Thursday,5 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,February,Friday,4 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Sunday,1 PM,Weekend
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Thursday,1 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.65,15.6,2011,January,Tuesday,4 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,12,0.65,7.8,2011,January,Wednesday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,108,0.19,20.52,2011,December,Monday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.19,6.84,2011,December,Tuesday,10 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.19,6.84,2011,December,Tuesday,11 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.19,6.84,2011,December,Tuesday,3 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,24,0.19,4.56,2011,December,Tuesday,5 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.19,6.84,2011,December,Wednesday,12 PM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,72,0.19,13.68,2011,December,Thursday,9 AM,Weekday
HAIRCLIPS FORTIES FABRIC ASSORTED,36,0.19,6.84,2011,December,Thursday,9 AM,Weekday
