Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,4.21,8.42,2010,December,Wednesday,5 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,11.87,23.74,2010,December,Tuesday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.21,4.21,2010,December,Thursday,2 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,5.95,11.9,2010,December,Thursday,4 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,10,1.25,12.5,2010,December,Tuesday,11 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,20,1.25,25.0,2010,December,Tuesday,12 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,10,1.25,12.5,2010,December,Thursday,1 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,100,1.25,125.0,2010,December,Tuesday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.21,4.21,2011,January,Monday,2 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,4.21,8.42,2011,January,Wednesday,9 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.21,4.21,2011,January,Wednesday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,10,1.25,12.5,2011,January,Monday,10 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,4.13,8.26,2011,January,Tuesday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,40,1.25,50.0,2011,May,Wednesday,11 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.13,4.13,2011,June,Tuesday,5 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.13,4.13,2011,February,Monday,9 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.13,4.13,2011,February,Monday,4 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.13,4.13,2011,February,Thursday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,5.95,11.9,2011,February,Friday,9 AM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,3,4.13,12.39,2011,February,Monday,5 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,1,4.13,4.13,2011,January,Monday,3 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,4.13,8.26,2011,December,Friday,4 PM,Weekday
HAND TOWEL PINK FLOWER AND DAISY,2,4.13,8.26,2011,December,Tuesday,4 PM,Weekday
