Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,August,Wednesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,August,Friday,1 PM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,September,Thursday,11 AM,Weekday
HAND WARMER RED LOVE HEART,9,2.1,18.9,2011,September,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,1,4.13,4.13,2011,September,Monday,3 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Wednesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,September,Wednesday,3 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,12 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,September,Thursday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,September,Thursday,3 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,September,Friday,10 AM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,10,2.1,21.0,2011,September,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Monday,1 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Tuesday,9 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Tuesday,9 AM,Weekday
HAND WARMER RED LOVE HEART,6,2.1,12.6,2011,September,Tuesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,September,Tuesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,16,2.1,33.6,2011,September,Tuesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Tuesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Wednesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,10 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,1 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,1 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,2 PM,Weekday
HAND WARMER RED LOVE HEART,10,2.1,21.0,2011,September,Thursday,4 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Friday,9 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Friday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Friday,2 PM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,September,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Monday,9 AM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,September,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,September,Monday,3 PM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,September,Tuesday,9 AM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,September,Tuesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Tuesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Tuesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,September,Tuesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,1,4.13,4.13,2011,September,Wednesday,3 PM,Weekday
HAND WARMER RED LOVE HEART,2,4.13,8.26,2011,September,Wednesday,3 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Thursday,9 AM,Weekday
HAND WARMER RED LOVE HEART,7,2.1,14.7,2011,September,Thursday,12 PM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,September,Thursday,12 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,2 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Thursday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,4 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Thursday,7 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Friday,1 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Friday,2 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Sunday,11 AM,Weekend
HAND WARMER RED LOVE HEART,6,2.1,12.6,2011,September,Sunday,1 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Sunday,1 PM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,September,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,September,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,September,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,September,Monday,2 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Monday,4 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Tuesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,September,Tuesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Tuesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,September,Tuesday,5 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,September,Tuesday,5 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Wednesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Wednesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,10 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Thursday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,September,Thursday,4 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Friday,10 AM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,September,Friday,12 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Friday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,September,Friday,3 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,February,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,February,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,9 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Tuesday,8 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Tuesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Tuesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,February,Tuesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Tuesday,3 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Wednesday,8 AM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Thursday,4 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Thursday,6 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Friday,12 PM,Weekday
HAND WARMER RED LOVE HEART,96,1.85,177.6,2011,February,Friday,3 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,February,Sunday,10 AM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Sunday,1 PM,Weekend
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Sunday,1 PM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,February,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,1 PM,Weekday
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,February,Monday,3 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Monday,5 PM,Weekday
HAND WARMER RED LOVE HEART,6,2.1,12.6,2011,February,Tuesday,4 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Wednesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Thursday,9 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Thursday,10 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Thursday,11 AM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Thursday,4 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Friday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,4.13,4.13,2011,February,Friday,5 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Sunday,2 PM,Weekend
HAND WARMER RED LOVE HEART,10,2.1,21.0,2011,February,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Tuesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Tuesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,10,2.1,21.0,2011,February,Wednesday,11 AM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Wednesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Wednesday,12 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Thursday,3 PM,Weekday
HAND WARMER RED LOVE HEART,8,2.1,16.8,2011,February,Thursday,7 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Friday,9 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Friday,12 PM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Friday,1 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Friday,2 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,February,Friday,2 PM,Weekday
HAND WARMER RED LOVE HEART,5,2.1,10.5,2011,February,Sunday,10 AM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,4,2.1,8.4,2011,February,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,12 PM,Weekend
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,3 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Sunday,4 PM,Weekend
HAND WARMER RED LOVE HEART,2,2.1,4.2,2011,February,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Monday,10 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,11 AM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Monday,1 PM,Weekday
HAND WARMER RED LOVE HEART,2,4.13,8.26,2011,February,Monday,5 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Tuesday,10 AM,Weekday
HAND WARMER RED LOVE HEART,3,2.1,6.3,2011,February,Tuesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Tuesday,2 PM,Weekday
HAND WARMER RED LOVE HEART,12,2.1,25.2,2011,February,Tuesday,3 PM,Weekday
HAND WARMER RED LOVE HEART,1,4.13,4.13,2011,February,Tuesday,6 PM,Weekday
HAND WARMER RED LOVE HEART,24,2.1,50.4,2011,February,Wednesday,10 AM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Wednesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Wednesday,1 PM,Weekday
HAND WARMER RED LOVE HEART,1,2.1,2.1,2011,February,Wednesday,2 PM,Weekday
