Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Wednesday,8 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Wednesday,9 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Wednesday,9 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Wednesday,10 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Wednesday,11 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,8 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,8 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,9 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,9 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,10 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,10 AM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,12 PM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,12 PM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,2 PM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,2 PM,Weekday
HAND WARMER RED POLKA DOT,6,1.85,11.1,2010,December,Thursday,3 PM,Weekday
HAND WARMER RED POLKA DOT,12,1.85,22.2,2010,December,Thursday,3 PM,Weekday
HAND WARMER RED POLKA DOT,12,2.1,25.2,2010,December,Friday,10 AM,Weekday
