Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,3,2.95,8.85,2010,December,Thursday,1 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,2010,December,Sunday,12 PM,Weekend
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,2011,February,Thursday,6 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,5.79,5.79,2011,May,Monday,4 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,5.79,5.79,2011,July,Monday,4 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,5.79,5.79,2011,July,Thursday,4 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,3,2.95,8.85,2011,September,Friday,2 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,5.79,5.79,2011,September,Wednesday,4 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,5,2.95,14.75,2011,September,Friday,10 AM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,2011,February,Sunday,2 PM,Weekend
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,2011,February,Sunday,4 PM,Weekend
HANGING BAUBLE T-LIGHT HOLDER LARGE,6,2.95,17.7,2011,January,Friday,2 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,3,2.95,8.85,2011,January,Tuesday,3 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,4,2.95,11.8,2011,January,Thursday,12 PM,Weekday
HANGING BAUBLE T-LIGHT HOLDER LARGE,1,2.95,2.95,2011,December,Thursday,8 AM,Weekday
