Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2010,December,Friday,11 AM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2010,December,Tuesday,12 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2010,December,Wednesday,3 PM,Weekday
HANGING CHICK CREAM DECORATION,4,1.45,5.8,2011,January,Tuesday,3 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,January,Wednesday,3 PM,Weekday
HANGING CHICK CREAM DECORATION,3,1.45,4.35,2011,January,Friday,2 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,January,Monday,12 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,January,Monday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,4,1.45,5.8,2011,January,Monday,4 PM,Weekday
HANGING CHICK CREAM DECORATION,4,1.45,5.8,2011,January,Friday,3 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,January,Thursday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,12,1.45,17.4,2011,January,Friday,12 PM,Weekday
HANGING CHICK CREAM DECORATION,1,1.45,1.45,2011,January,Sunday,3 PM,Weekend
HANGING CHICK CREAM DECORATION,1,1.45,1.45,2011,January,Sunday,3 PM,Weekend
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,January,Monday,10 AM,Weekday
HANGING CHICK CREAM DECORATION,1,1.45,1.45,2011,January,Monday,2 PM,Weekday
HANGING CHICK CREAM DECORATION,1,1.45,1.45,2011,January,Monday,2 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Tuesday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,1,2.92,2.92,2011,February,Wednesday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,4,1.45,5.8,2011,February,Friday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,1,2.92,2.92,2011,February,Tuesday,11 AM,Weekday
HANGING CHICK CREAM DECORATION,2,1.45,2.9,2011,February,Sunday,11 AM,Weekend
HANGING CHICK CREAM DECORATION,1,1.45,1.45,2011,February,Sunday,11 AM,Weekend
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Monday,9 AM,Weekday
HANGING CHICK CREAM DECORATION,5,1.45,7.25,2011,February,Tuesday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Wednesday,12 PM,Weekday
HANGING CHICK CREAM DECORATION,3,1.45,4.35,2011,February,Wednesday,1 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Wednesday,2 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Monday,12 PM,Weekday
HANGING CHICK CREAM DECORATION,2,2.92,5.84,2011,February,Monday,6 PM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Tuesday,11 AM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Tuesday,11 AM,Weekday
HANGING CHICK CREAM DECORATION,24,1.45,34.8,2011,February,Tuesday,2 PM,Weekday
HANGING CHICK CREAM DECORATION,2,1.45,2.9,2011,February,Tuesday,4 PM,Weekday
