Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,April,Tuesday,4 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,April,Tuesday,4 PM,Weekday
HANGING ENGRAVED METAL HEART,1,8.29,8.29,2011,May,Tuesday,4 PM,Weekday
HANGING ENGRAVED METAL HEART,10,4.15,41.5,2011,May,Thursday,12 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Thursday,2 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Friday,10 AM,Weekday
HANGING ENGRAVED METAL HEART,3,4.15,12.45,2011,May,Sunday,11 AM,Weekend
HANGING ENGRAVED METAL HEART,1,4.15,4.15,2011,May,Sunday,11 AM,Weekend
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,May,Monday,1 PM,Weekday
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,May,Tuesday,12 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Wednesday,1 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Wednesday,2 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Wednesday,3 PM,Weekday
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,May,Thursday,11 AM,Weekday
HANGING ENGRAVED METAL HEART,8,4.15,33.2,2011,May,Thursday,1 PM,Weekday
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,May,Thursday,8 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Friday,10 AM,Weekday
HANGING ENGRAVED METAL HEART,12,4.15,49.8,2011,May,Tuesday,11 AM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Tuesday,12 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Sunday,1 PM,Weekend
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,May,Sunday,2 PM,Weekend
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,June,Monday,3 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Tuesday,2 PM,Weekday
HANGING ENGRAVED METAL HEART,5,4.15,20.75,2011,June,Thursday,3 PM,Weekday
HANGING ENGRAVED METAL HEART,7,4.15,29.05,2011,June,Friday,5 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Sunday,1 PM,Weekend
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,June,Sunday,2 PM,Weekend
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Monday,11 AM,Weekday
HANGING ENGRAVED METAL HEART,1,8.29,8.29,2011,June,Monday,3 PM,Weekday
HANGING ENGRAVED METAL HEART,1,4.15,4.15,2011,June,Wednesday,12 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Thursday,1 PM,Weekday
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Sunday,1 PM,Weekend
HANGING ENGRAVED METAL HEART,4,4.15,16.6,2011,June,Thursday,6 PM,Weekday
HANGING ENGRAVED METAL HEART,2,4.15,8.3,2011,July,Friday,11 AM,Weekday
