Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING HEART BONHEUR,6,0.85,5.1,2011,September,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,10,0.85,8.5,2011,September,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,5,0.85,4.25,2011,September,Wednesday,12 PM,Weekday
HANGING HEART BONHEUR,48,0.85,40.8,2011,September,Thursday,3 PM,Weekday
HANGING HEART BONHEUR,24,0.85,20.4,2011,September,Friday,8 AM,Weekday
HANGING HEART BONHEUR,24,0.85,20.4,2011,September,Tuesday,9 AM,Weekday
HANGING HEART BONHEUR,24,0.85,20.4,2011,September,Thursday,9 AM,Weekday
HANGING HEART BONHEUR,6,0.85,5.1,2011,September,Sunday,3 PM,Weekend
HANGING HEART BONHEUR,1,0.85,0.85,2011,September,Monday,1 PM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,September,Monday,1 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,September,Wednesday,2 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,September,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,September,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,September,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,September,Thursday,10 AM,Weekday
HANGING HEART BONHEUR,10,0.85,8.5,2011,September,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,12,0.85,10.2,2011,September,Tuesday,10 AM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,September,Wednesday,2 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,September,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,September,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,September,Wednesday,4 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,September,Thursday,8 AM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,September,Thursday,9 AM,Weekday
HANGING HEART BONHEUR,24,0.85,20.4,2011,September,Thursday,1 PM,Weekday
HANGING HEART BONHEUR,3,0.85,2.55,2011,February,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,1,0.85,0.85,2011,February,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,1,0.85,0.85,2011,February,Tuesday,2 PM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,February,Wednesday,1 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Thursday,10 AM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Thursday,1 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Monday,12 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Wednesday,11 AM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Thursday,2 PM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,February,Thursday,4 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Monday,1 PM,Weekday
HANGING HEART BONHEUR,2,2.08,4.16,2011,February,Monday,3 PM,Weekday
HANGING HEART BONHEUR,24,0.72,17.28,2011,February,Tuesday,12 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Tuesday,2 PM,Weekday
HANGING HEART BONHEUR,4,0.85,3.4,2011,February,Thursday,12 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,February,Friday,10 AM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,February,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,1,0.85,0.85,2011,February,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,4,2.08,8.32,2011,February,Monday,5 PM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,February,Sunday,3 PM,Weekend
HANGING HEART BONHEUR,10,0.85,8.5,2011,January,Thursday,4 PM,Weekday
HANGING HEART BONHEUR,3,0.85,2.55,2011,January,Sunday,2 PM,Weekend
HANGING HEART BONHEUR,4,0.85,3.4,2011,January,Monday,2 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,January,Monday,3 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,January,Tuesday,11 AM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,January,Tuesday,12 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,January,Wednesday,1 PM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,January,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,2,2.08,4.16,2011,January,Friday,1 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,January,Tuesday,11 AM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,January,Tuesday,11 AM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,January,Tuesday,5 PM,Weekday
HANGING HEART BONHEUR,24,0.85,20.4,2011,January,Thursday,12 PM,Weekday
HANGING HEART BONHEUR,3,0.85,2.55,2011,January,Friday,10 AM,Weekday
HANGING HEART BONHEUR,12,0.85,10.2,2011,January,Friday,1 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,January,Friday,3 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,January,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,2,0.85,1.7,2011,January,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,2,0.85,1.7,2011,January,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,3,0.85,2.55,2011,January,Tuesday,1 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
HANGING HEART BONHEUR,6,0.85,5.1,2011,January,Thursday,3 PM,Weekday
HANGING HEART BONHEUR,6,0.85,5.1,2011,January,Monday,2 PM,Weekday
HANGING HEART BONHEUR,3,2.08,6.24,2011,January,Wednesday,3 PM,Weekday
HANGING HEART BONHEUR,6,0.85,5.1,2011,January,Wednesday,5 PM,Weekday
HANGING HEART BONHEUR,48,0.85,40.8,2011,December,Thursday,4 PM,Weekday
HANGING HEART BONHEUR,1,0.85,0.85,2011,December,Sunday,11 AM,Weekend
HANGING HEART BONHEUR,12,0.85,10.2,2011,December,Monday,9 AM,Weekday
HANGING HEART BONHEUR,2,0.85,1.7,2011,December,Wednesday,2 PM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,December,Thursday,9 AM,Weekday
HANGING HEART BONHEUR,1,2.08,2.08,2011,December,Thursday,9 AM,Weekday
