Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING METAL RABBIT DECORATION,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
HANGING METAL RABBIT DECORATION,1,2.51,2.51,2010,December,Tuesday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,1,2.51,2.51,2010,December,Thursday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,1,2.51,2.51,2010,December,Friday,9 AM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,January,Wednesday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,6,1.25,7.5,2011,January,Tuesday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,January,Tuesday,10 AM,Weekday
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,January,Sunday,1 PM,Weekend
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,January,Monday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,February,Thursday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,February,Tuesday,11 AM,Weekday
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,February,Friday,10 AM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,February,Friday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,February,Monday,9 AM,Weekday
HANGING METAL RABBIT DECORATION,3,1.25,3.75,2011,February,Wednesday,1 PM,Weekday
HANGING METAL RABBIT DECORATION,3,1.25,3.75,2011,February,Wednesday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,February,Thursday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,3,2.46,7.38,2011,February,Wednesday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,February,Sunday,12 PM,Weekend
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,March,Thursday,9 AM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Thursday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Friday,8 AM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Friday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,2,1.25,2.5,2011,March,Monday,1 PM,Weekday
HANGING METAL RABBIT DECORATION,5,1.25,6.25,2011,March,Thursday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,March,Thursday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,4,1.25,5.0,2011,March,Sunday,11 AM,Weekend
HANGING METAL RABBIT DECORATION,6,1.25,7.5,2011,March,Sunday,1 PM,Weekend
HANGING METAL RABBIT DECORATION,48,1.25,60.0,2011,March,Tuesday,3 PM,Weekday
HANGING METAL RABBIT DECORATION,5,1.25,6.25,2011,March,Sunday,1 PM,Weekend
HANGING METAL RABBIT DECORATION,1,2.46,2.46,2011,March,Tuesday,9 AM,Weekday
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,March,Thursday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,March,Thursday,12 PM,Weekday
HANGING METAL RABBIT DECORATION,6,1.25,7.5,2011,March,Sunday,11 AM,Weekend
HANGING METAL RABBIT DECORATION,5,1.25,6.25,2011,March,Sunday,12 PM,Weekend
HANGING METAL RABBIT DECORATION,1,1.25,1.25,2011,March,Sunday,1 PM,Weekend
HANGING METAL RABBIT DECORATION,3,1.25,3.75,2011,March,Sunday,1 PM,Weekend
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Monday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Tuesday,1 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,March,Wednesday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,April,Friday,2 PM,Weekday
HANGING METAL RABBIT DECORATION,24,1.25,30.0,2011,April,Wednesday,10 AM,Weekday
