Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HANGING SPRING FLOWER EGG LARGE,36,0.85,30.6,2010,December,Tuesday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,1,0.85,0.85,2011,January,Tuesday,11 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,1,0.85,0.85,2011,January,Tuesday,11 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,6,0.85,5.1,2011,January,Friday,2 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,9,0.85,7.65,2011,January,Thursday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,1,1.63,1.63,2011,January,Thursday,2 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,2,1.63,3.26,2011,January,Thursday,6 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,15,1.63,24.45,2011,January,Friday,5 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,36,0.85,30.6,2011,January,Sunday,12 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,3,0.85,2.55,2011,January,Sunday,3 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,36,0.85,30.6,2011,January,Sunday,2 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,24,0.85,20.4,2011,February,Monday,1 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,6,0.85,5.1,2011,February,Monday,2 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,2,1.63,3.26,2011,February,Tuesday,11 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,2,0.85,1.7,2011,February,Thursday,5 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,February,Friday,3 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,February,Sunday,4 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,February,Monday,9 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,February,Tuesday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,36,0.85,30.6,2011,February,Tuesday,2 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,3,0.85,2.55,2011,February,Tuesday,5 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,36,0.85,30.6,2011,February,Wednesday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,February,Friday,11 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,144,0.72,103.68,2011,February,Monday,10 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,1,1.63,1.63,2011,February,Monday,10 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,5,1.63,8.15,2011,March,Thursday,9 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Thursday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,6,0.85,5.1,2011,March,Sunday,12 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Monday,9 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,6,0.85,5.1,2011,March,Tuesday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Tuesday,3 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Thursday,9 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Thursday,10 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Thursday,12 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Thursday,2 PM,Weekday
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Friday,10 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,2,0.85,1.7,2011,March,Sunday,12 PM,Weekend
HANGING SPRING FLOWER EGG LARGE,12,0.85,10.2,2011,March,Tuesday,10 AM,Weekday
HANGING SPRING FLOWER EGG LARGE,24,0.85,20.4,2011,March,Tuesday,12 PM,Weekday
