Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,April,Monday,10 AM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,April,Wednesday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,May,Thursday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,May,Friday,1 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,May,Sunday,11 AM,Weekend
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,May,Monday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,May,Wednesday,2 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,May,Tuesday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,4,2.08,8.32,2011,May,Tuesday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,May,Wednesday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,4,2.08,8.32,2011,May,Wednesday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,May,Thursday,1 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,4.13,8.26,2011,June,Friday,5 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,June,Friday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,1,4.13,4.13,2011,June,Monday,9 AM,Weekday
HEART BEADED TRELLIS DECORATION,4,2.08,8.32,2011,June,Tuesday,10 AM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,June,Sunday,1 PM,Weekend
HEART BEADED TRELLIS DECORATION,2,4.13,8.26,2011,July,Tuesday,5 PM,Weekday
HEART BEADED TRELLIS DECORATION,3,2.08,6.24,2011,July,Thursday,1 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,August,Sunday,3 PM,Weekend
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,August,Wednesday,2 PM,Weekday
HEART BEADED TRELLIS DECORATION,5,2.08,10.4,2011,September,Sunday,11 AM,Weekend
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,September,Wednesday,3 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,September,Wednesday,10 AM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,September,Thursday,12 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,September,Sunday,3 PM,Weekend
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,February,Monday,9 AM,Weekday
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,February,Wednesday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,February,Thursday,2 PM,Weekday
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,February,Sunday,3 PM,Weekend
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,January,Tuesday,9 AM,Weekday
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,January,Thursday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,January,Sunday,12 PM,Weekend
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,January,Sunday,4 PM,Weekend
HEART BEADED TRELLIS DECORATION,3,2.08,6.24,2011,January,Sunday,12 PM,Weekend
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,January,Sunday,4 PM,Weekend
HEART BEADED TRELLIS DECORATION,5,2.08,10.4,2011,January,Monday,2 PM,Weekday
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,January,Monday,2 PM,Weekday
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,January,Tuesday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,1,2.08,2.08,2011,January,Tuesday,3 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,December,Sunday,2 PM,Weekend
HEART BEADED TRELLIS DECORATION,12,2.08,24.96,2011,December,Monday,4 PM,Weekday
HEART BEADED TRELLIS DECORATION,2,2.08,4.16,2011,December,Wednesday,1 PM,Weekday
HEART BEADED TRELLIS DECORATION,6,2.08,12.48,2011,December,Wednesday,1 PM,Weekday
