Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEART DECORATION WITH PEARLS,3,1.66,4.98,2010,December,Wednesday,2 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2010,December,Friday,11 AM,Weekday
HEART DECORATION WITH PEARLS,4,0.85,3.4,2010,December,Sunday,10 AM,Weekend
HEART DECORATION WITH PEARLS,1,0.85,0.85,2010,December,Sunday,1 PM,Weekend
HEART DECORATION WITH PEARLS,1,0.85,0.85,2010,December,Sunday,2 PM,Weekend
HEART DECORATION WITH PEARLS,1,0.85,0.85,2010,December,Sunday,2 PM,Weekend
HEART DECORATION WITH PEARLS,5,0.85,4.25,2010,December,Sunday,4 PM,Weekend
HEART DECORATION WITH PEARLS,2,1.66,3.32,2010,December,Monday,9 AM,Weekday
HEART DECORATION WITH PEARLS,24,0.85,20.4,2010,December,Monday,3 PM,Weekday
HEART DECORATION WITH PEARLS,2,0.85,1.7,2010,December,Wednesday,12 PM,Weekday
HEART DECORATION WITH PEARLS,36,0.85,30.6,2010,December,Wednesday,3 PM,Weekday
HEART DECORATION WITH PEARLS,2,0.85,1.7,2010,December,Thursday,7 PM,Weekday
HEART DECORATION WITH PEARLS,3,1.66,4.98,2010,December,Friday,9 AM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
HEART DECORATION WITH PEARLS,3,0.85,2.55,2010,December,Sunday,11 AM,Weekend
HEART DECORATION WITH PEARLS,4,0.85,3.4,2010,December,Sunday,4 PM,Weekend
HEART DECORATION WITH PEARLS,8,0.85,6.8,2010,December,Monday,1 PM,Weekday
HEART DECORATION WITH PEARLS,12,0.85,10.2,2010,December,Wednesday,1 PM,Weekday
HEART DECORATION WITH PEARLS,1,0.85,0.85,2010,December,Friday,5 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2010,December,Monday,10 AM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2010,December,Tuesday,3 PM,Weekday
HEART DECORATION WITH PEARLS,4,1.66,6.64,2010,December,Tuesday,3 PM,Weekday
HEART DECORATION WITH PEARLS,12,0.85,10.2,2011,January,Wednesday,10 AM,Weekday
HEART DECORATION WITH PEARLS,18,0.85,15.3,2011,January,Wednesday,1 PM,Weekday
HEART DECORATION WITH PEARLS,24,0.85,20.4,2011,January,Friday,10 AM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2011,January,Monday,9 AM,Weekday
HEART DECORATION WITH PEARLS,36,0.85,30.6,2011,January,Monday,2 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.66,1.66,2011,January,Monday,4 PM,Weekday
HEART DECORATION WITH PEARLS,36,0.85,30.6,2011,January,Tuesday,11 AM,Weekday
HEART DECORATION WITH PEARLS,10,1.66,16.6,2011,January,Wednesday,9 AM,Weekday
HEART DECORATION WITH PEARLS,4,1.66,6.64,2011,January,Wednesday,3 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.63,1.63,2011,January,Friday,10 AM,Weekday
HEART DECORATION WITH PEARLS,6,0.85,5.1,2011,January,Friday,1 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
HEART DECORATION WITH PEARLS,2,1.63,3.26,2011,January,Monday,5 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.63,1.63,2011,January,Tuesday,4 PM,Weekday
HEART DECORATION WITH PEARLS,2,1.63,3.26,2011,January,Wednesday,3 PM,Weekday
HEART DECORATION WITH PEARLS,12,0.85,10.2,2011,January,Thursday,12 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.63,1.63,2011,January,Thursday,6 PM,Weekday
HEART DECORATION WITH PEARLS,1,1.63,1.63,2011,January,Thursday,6 PM,Weekday
HEART DECORATION WITH PEARLS,6,1.63,9.78,2011,January,Friday,5 PM,Weekday
HEART DECORATION WITH PEARLS,12,0.85,10.2,2011,January,Tuesday,10 AM,Weekday
HEART DECORATION WITH PEARLS,36,0.85,30.6,2011,January,Wednesday,12 PM,Weekday
HEART DECORATION WITH PEARLS,1,0.85,0.85,2011,January,Thursday,11 AM,Weekday
HEART DECORATION WITH PEARLS,3,0.85,2.55,2011,January,Thursday,11 AM,Weekday
HEART DECORATION WITH PEARLS,13,0.85,11.05,2011,January,Thursday,3 PM,Weekday
