Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEART GARLAND RUSTIC PADDED,2,3.36,6.72,2010,December,Wednesday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2010,December,Wednesday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,2.95,2.95,2010,December,Thursday,7 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.36,13.44,2010,December,Friday,11 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Monday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,7,3.36,23.52,2010,December,Monday,10 AM,Weekday
HEART GARLAND RUSTIC PADDED,8,2.95,23.6,2010,December,Monday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Monday,4 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.36,13.44,2010,December,Tuesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Tuesday,6 PM,Weekday
HEART GARLAND RUSTIC PADDED,8,3.36,26.88,2010,December,Wednesday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,8,3.36,26.88,2010,December,Friday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2010,December,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,5,3.36,16.8,2010,December,Monday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.36,6.72,2010,December,Monday,11 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,5.91,5.91,2010,December,Tuesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,16,2.95,47.2,2010,December,Wednesday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,6,3.36,20.16,2010,December,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2010,December,Friday,4 PM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.36,6.72,2010,December,Friday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Monday,10 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2010,December,Tuesday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2010,December,Thursday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.36,13.44,2011,January,Tuesday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2011,January,Wednesday,11 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2011,January,Thursday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2011,January,Friday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2011,January,Monday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2011,January,Monday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2011,January,Monday,4 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.36,10.08,2011,January,Tuesday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,7,3.36,23.52,2011,January,Wednesday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.36,3.36,2011,January,Wednesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Thursday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.29,6.58,2011,January,Thursday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.29,13.16,2011,January,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,2.95,2.95,2011,January,Sunday,3 PM,Weekend
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Monday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Tuesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Tuesday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.29,13.16,2011,January,Wednesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.29,6.58,2011,January,Thursday,6 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Thursday,6 PM,Weekday
HEART GARLAND RUSTIC PADDED,4,3.29,13.16,2011,January,Friday,5 PM,Weekday
HEART GARLAND RUSTIC PADDED,8,2.95,23.6,2011,January,Monday,12 PM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.29,6.58,2011,January,Monday,1 PM,Weekday
HEART GARLAND RUSTIC PADDED,6,3.29,19.74,2011,January,Tuesday,10 AM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Wednesday,4 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Thursday,11 AM,Weekday
HEART GARLAND RUSTIC PADDED,2,3.29,6.58,2011,January,Friday,2 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,3.29,3.29,2011,January,Monday,9 AM,Weekday
HEART GARLAND RUSTIC PADDED,5,3.29,16.45,2011,January,Monday,12 PM,Weekday
HEART GARLAND RUSTIC PADDED,3,3.29,9.87,2011,February,Tuesday,3 PM,Weekday
HEART GARLAND RUSTIC PADDED,1,2.95,2.95,2011,February,Tuesday,2 PM,Weekday
