Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEART OF WICKER SMALL,40,1.45,58.0,2010,December,Wednesday,9 AM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Wednesday,9 AM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Wednesday,11 AM,Weekday
HEART OF WICKER SMALL,5,1.65,8.25,2010,December,Wednesday,11 AM,Weekday
HEART OF WICKER SMALL,1,1.65,1.65,2010,December,Wednesday,12 PM,Weekday
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Wednesday,12 PM,Weekday
HEART OF WICKER SMALL,8,1.65,13.2,2010,December,Wednesday,1 PM,Weekday
HEART OF WICKER SMALL,8,3.36,26.88,2010,December,Wednesday,2 PM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Wednesday,3 PM,Weekday
HEART OF WICKER SMALL,11,3.36,36.96,2010,December,Wednesday,5 PM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Thursday,11 AM,Weekday
HEART OF WICKER SMALL,40,1.45,58.0,2010,December,Thursday,12 PM,Weekday
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Thursday,1 PM,Weekday
HEART OF WICKER SMALL,24,1.65,39.6,2010,December,Thursday,3 PM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Thursday,6 PM,Weekday
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Thursday,7 PM,Weekday
HEART OF WICKER SMALL,1,4.21,4.21,2010,December,Friday,11 AM,Weekday
HEART OF WICKER SMALL,4,4.21,16.84,2010,December,Friday,11 AM,Weekday
HEART OF WICKER SMALL,33,3.36,110.88,2010,December,Friday,11 AM,Weekday
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Friday,12 PM,Weekday
HEART OF WICKER SMALL,1,1.65,1.65,2010,December,Friday,12 PM,Weekday
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Friday,1 PM,Weekday
HEART OF WICKER SMALL,2,4.21,8.42,2010,December,Friday,2 PM,Weekday
HEART OF WICKER SMALL,1,1.65,1.65,2010,December,Sunday,10 AM,Weekend
HEART OF WICKER SMALL,1,1.65,1.65,2010,December,Sunday,10 AM,Weekend
HEART OF WICKER SMALL,6,1.65,9.9,2010,December,Sunday,10 AM,Weekend
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Sunday,11 AM,Weekend
HEART OF WICKER SMALL,3,1.65,4.95,2010,December,Sunday,11 AM,Weekend
HEART OF WICKER SMALL,4,1.65,6.6,2010,December,Sunday,11 AM,Weekend
HEART OF WICKER SMALL,8,1.65,13.2,2010,December,Sunday,12 PM,Weekend
HEART OF WICKER SMALL,1,1.65,1.65,2010,December,Sunday,12 PM,Weekend
HEART OF WICKER SMALL,2,1.65,3.3,2010,December,Sunday,1 PM,Weekend
HEART OF WICKER SMALL,12,1.65,19.8,2010,December,Sunday,2 PM,Weekend
