Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEARTS  STICKERS,6,0.85,5.1,2010,December,Friday,12 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2010,December,Friday,5 PM,Weekday
HEARTS  STICKERS,1,0.85,0.85,2010,December,Sunday,1 PM,Weekend
HEARTS  STICKERS,3,1.66,4.98,2010,December,Monday,9 AM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2010,December,Monday,10 AM,Weekday
HEARTS  STICKERS,6,0.85,5.1,2010,December,Monday,2 PM,Weekday
HEARTS  STICKERS,4,1.66,6.64,2010,December,Tuesday,6 PM,Weekday
HEARTS  STICKERS,6,0.85,5.1,2010,December,Wednesday,5 PM,Weekday
HEARTS  STICKERS,1,1.66,1.66,2010,December,Thursday,2 PM,Weekday
HEARTS  STICKERS,2,0.85,1.7,2010,December,Sunday,10 AM,Weekend
HEARTS  STICKERS,12,0.85,10.2,2010,December,Sunday,2 PM,Weekend
HEARTS  STICKERS,6,0.85,5.1,2010,December,Tuesday,1 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2010,December,Thursday,3 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2010,December,Friday,3 PM,Weekday
HEARTS  STICKERS,1,1.66,1.66,2010,December,Friday,5 PM,Weekday
HEARTS  STICKERS,4,0.81,3.24,2010,December,Thursday,1 PM,Weekday
HEARTS  STICKERS,2,0.81,1.62,2011,January,Tuesday,1 PM,Weekday
HEARTS  STICKERS,4,0.85,3.4,2011,January,Wednesday,1 PM,Weekday
HEARTS  STICKERS,1,0.81,0.81,2011,January,Thursday,2 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2011,January,Thursday,3 PM,Weekday
HEARTS  STICKERS,3,0.81,2.43,2011,January,Friday,1 PM,Weekday
HEARTS  STICKERS,6,0.85,5.1,2011,January,Friday,2 PM,Weekday
HEARTS  STICKERS,1,0.81,0.81,2011,January,Monday,9 AM,Weekday
HEARTS  STICKERS,1,0.81,0.81,2011,January,Monday,4 PM,Weekday
HEARTS  STICKERS,1,0.81,0.81,2011,January,Tuesday,1 PM,Weekday
HEARTS  STICKERS,1,0.81,0.81,2011,January,Wednesday,9 AM,Weekday
HEARTS  STICKERS,1,0.79,0.79,2011,January,Thursday,2 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2011,January,Friday,12 PM,Weekday
HEARTS  STICKERS,12,0.85,10.2,2011,January,Friday,1 PM,Weekday
HEARTS  STICKERS,2,0.79,1.58,2011,January,Friday,2 PM,Weekday
