Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HEARTS GIFT TAPE,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
HEARTS GIFT TAPE,1,1.66,1.66,2010,December,Wednesday,5 PM,Weekday
HEARTS GIFT TAPE,2,0.65,1.3,2010,December,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,5,0.65,3.25,2010,December,Thursday,8 PM,Weekday
HEARTS GIFT TAPE,1,0.65,0.65,2010,December,Sunday,10 AM,Weekend
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Monday,10 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Tuesday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Wednesday,9 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Wednesday,10 AM,Weekday
HEARTS GIFT TAPE,48,0.19,9.12,2010,December,Wednesday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Thursday,10 AM,Weekday
HEARTS GIFT TAPE,12,0.65,7.8,2010,December,Thursday,1 PM,Weekday
HEARTS GIFT TAPE,12,0.65,7.8,2010,December,Thursday,3 PM,Weekday
HEARTS GIFT TAPE,120,0.19,22.8,2010,December,Thursday,5 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Friday,4 PM,Weekday
HEARTS GIFT TAPE,16,0.43,6.88,2010,December,Thursday,1 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2010,December,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,15,0.43,6.45,2011,January,Tuesday,1 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Wednesday,10 AM,Weekday
HEARTS GIFT TAPE,3,0.43,1.29,2011,January,Wednesday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Wednesday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Wednesday,3 PM,Weekday
HEARTS GIFT TAPE,2,0.43,0.86,2011,January,Wednesday,4 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Thursday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,1,0.43,0.43,2011,January,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Thursday,4 PM,Weekday
HEARTS GIFT TAPE,3,0.43,1.29,2011,January,Friday,11 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Friday,12 PM,Weekday
HEARTS GIFT TAPE,1,0.43,0.43,2011,January,Friday,1 PM,Weekday
HEARTS GIFT TAPE,12,0.65,7.8,2011,January,Monday,9 AM,Weekday
HEARTS GIFT TAPE,10,0.43,4.3,2011,January,Monday,9 AM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Monday,11 AM,Weekday
HEARTS GIFT TAPE,1,0.43,0.43,2011,January,Monday,2 PM,Weekday
HEARTS GIFT TAPE,1,0.43,0.43,2011,January,Monday,4 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Monday,4 PM,Weekday
HEARTS GIFT TAPE,3,0.43,1.29,2011,January,Tuesday,1 PM,Weekday
HEARTS GIFT TAPE,10,0.43,4.3,2011,January,Wednesday,9 AM,Weekday
HEARTS GIFT TAPE,4,0.43,1.72,2011,January,Wednesday,3 PM,Weekday
HEARTS GIFT TAPE,1,0.42,0.42,2011,January,Thursday,9 AM,Weekday
HEARTS GIFT TAPE,9,0.42,3.78,2011,January,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Thursday,2 PM,Weekday
HEARTS GIFT TAPE,12,0.65,7.8,2011,January,Friday,1 PM,Weekday
HEARTS GIFT TAPE,24,0.19,4.56,2011,January,Friday,2 PM,Weekday
HEARTS GIFT TAPE,7,0.42,2.94,2011,January,Friday,2 PM,Weekday
