Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Thursday,1 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Thursday,2 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Thursday,3 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Friday,9 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Monday,1 PM,Weekday
HENRIETTA HEN MUG,1,1.65,1.65,2011,February,Monday,4 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Tuesday,10 AM,Weekday
HENRIETTA HEN MUG,2,1.65,3.3,2011,February,Tuesday,4 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Thursday,8 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Thursday,10 AM,Weekday
HENRIETTA HEN MUG,2,1.65,3.3,2011,February,Thursday,12 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,February,Friday,2 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Tuesday,11 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Tuesday,1 PM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,January,Tuesday,3 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Thursday,10 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Thursday,4 PM,Weekday
HENRIETTA HEN MUG,2,4.13,8.26,2011,January,Friday,9 AM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,January,Friday,1 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Sunday,11 AM,Weekend
HENRIETTA HEN MUG,6,1.65,9.9,2011,January,Sunday,11 AM,Weekend
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Tuesday,1 PM,Weekday
HENRIETTA HEN MUG,2,1.65,3.3,2011,January,Tuesday,5 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Wednesday,12 PM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,January,Friday,3 PM,Weekday
HENRIETTA HEN MUG,2,1.65,3.3,2011,January,Sunday,1 PM,Weekend
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Sunday,1 PM,Weekend
HENRIETTA HEN MUG,1,4.13,4.13,2011,January,Thursday,9 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Friday,10 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Tuesday,11 AM,Weekday
HENRIETTA HEN MUG,6,1.65,9.9,2011,January,Tuesday,12 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Tuesday,2 PM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Wednesday,9 AM,Weekday
HENRIETTA HEN MUG,12,1.65,19.8,2011,January,Wednesday,9 AM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,January,Wednesday,3 PM,Weekday
HENRIETTA HEN MUG,1,1.65,1.65,2011,December,Friday,2 PM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,December,Monday,5 PM,Weekday
HENRIETTA HEN MUG,2,4.13,8.26,2011,December,Monday,5 PM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,December,Thursday,9 AM,Weekday
HENRIETTA HEN MUG,2,1.65,3.3,2011,December,Thursday,1 PM,Weekday
HENRIETTA HEN MUG,6,1.65,9.9,2011,December,Thursday,2 PM,Weekday
HENRIETTA HEN MUG,1,4.13,4.13,2011,December,Friday,10 AM,Weekday
